municipality_id,lesson_variant_group_id,display_order,internal_item_id,lesson_condition_profile,selected_branch_order,teaching_box_id,selection_status,note
M009,,11,I002,PLASTIC_PET_CAP,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M009,,12,I003,PLASTIC_PET_LABEL,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M009,,13,I027,STANDARD_DRY_BATTERY,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M009,,14,I018,HOUSEHOLD_FOOD_WASTE,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M009,,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M020,,11,I002,PLASTIC_PET_CAP,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M020,,12,I003,PLASTIC_PET_LABEL,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M020,,13,I027,STANDARD_DRY_BATTERY,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M020,,14,I018,HOUSEHOLD_FOOD_WASTE,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M020,,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M094,,11,I002,PLASTIC_PET_CAP,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M094,,12,I003,PLASTIC_PET_LABEL,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M094,,13,I027,STANDARD_DRY_BATTERY,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M094,,14,I018,HOUSEHOLD_FOOD_WASTE,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M094,,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M098,LV-M098-01,11,I002,PLASTIC_PET_CAP,1,TB-M098-02,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M098,LV-M098-01,12,I003,PLASTIC_PET_LABEL,1,TB-M098-02,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M098,LV-M098-01,13,I027,STANDARD_DRY_BATTERY,1,TB-M098-04,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M098,LV-M098-01,14,I018,HOUSEHOLD_FOOD_WASTE,1,TB-M098-SUP-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M098,LV-M098-01,15,I010,CLEAN_PLASTIC_SNACK_BAG,1,TB-M098-02,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-01,11,I002,PLASTIC_PET_CAP,1,TB-M099-01-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
M099,LV-M099-01,12,I003,PLASTIC_PET_LABEL,1,TB-M099-01-01,CONFIRMED,既存APP_READY正本から授業条件に一致する通常枝を選定。会社mappingは根拠に使用しない。
