municipality_id,teaching_box_id,class_mode,box_kind,category_id,display_name,display_order,note,style_source_category_ids,style_district_scope
M106,TB-M106-ON-01,ONLINE_CLASS,FIXED_10_SCORING,C-M106-06,ペットボトル,1,固定画像10品目の採点用,C-M106-06,MUNICIPALITY_WIDE
M106,TB-M106-ON-02,ONLINE_CLASS,FIXED_10_SCORING,C-M106-05,プラスチック製容器包装,2,固定画像10品目の採点用,C-M106-05,MUNICIPALITY_WIDE
M106,TB-M106-ON-03,ONLINE_CLASS,FIXED_10_SCORING,C-M106-02,古紙類,3,新聞・段ボールの採点用,C-M106-02,MUNICIPALITY_WIDE
M106,TB-M106-ON-04,ONLINE_CLASS,FIXED_10_SCORING,C-M106-08,かん類,4,固定画像10品目の採点用,C-M106-08,MUNICIPALITY_WIDE
M106,TB-M106-ON-05,ONLINE_CLASS,FIXED_10_SCORING,C-M106-09,びん類,5,固定画像10品目の採点用,C-M106-09,MUNICIPALITY_WIDE
M106,TB-M106-ON-06,ONLINE_CLASS,FIXED_10_SCORING,C-M106-12,有害ごみ,6,電球・モバイルバッテリーの通常状態を採点,C-M106-12,MUNICIPALITY_WIDE
M106,TB-M106-ON-08,ONLINE_CLASS,FIXED_10_SCORING,C-M106-10,小型家電、電源コード、金物など,7,使い切ったライターの通常状態を採点,C-M106-10,MUNICIPALITY_WIDE
M106,TB-M106-ON-09,ONLINE_CLASS,FIXED_10_SCORING,C-M106-04,紙パック,8,固定画像10品目の採点用,C-M106-04,MUNICIPALITY_WIDE
M106,TB-M106-IP-01,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M106-01,燃えるごみ,1,対面授業で使う主要分別箱,C-M106-01,MUNICIPALITY_WIDE
M106,TB-M106-IP-02,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M106-02,古紙類,2,対面授業で使う主要分別箱,C-M106-02,MUNICIPALITY_WIDE
M106,TB-M106-IP-03,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M106-03,容器包装類,3,対面授業で使う主要分別箱,C-M106-03,MUNICIPALITY_WIDE
M106,TB-M106-IP-04,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M106-07,燃えないごみ,4,対面授業で使う主要分別箱,C-M106-07,MUNICIPALITY_WIDE
M106,TB-M106-IP-05,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M106-12,有害ごみ,5,対面授業で使う主要分別箱,C-M106-12,MUNICIPALITY_WIDE
M106,TB-M106-IP-06,IN_PERSON_CLASS,MAJOR_CATEGORY,C-M106-13,粗大ごみ,6,対面授業で使う主要分別箱,C-M106-13,MUNICIPALITY_WIDE
M107,TB-M107-ON-01,ONLINE_CLASS,FIXED_10_SCORING,C-M107-07,資源ごみ（ペットボトル）,1,固定画像10品目の採点用,C-M107-07,MUNICIPALITY_WIDE
