lesson_variant_group_id,municipality_id,internal_item_id,teaching_box_id,condition,preparation,exception_destination,evidence_source_id,evidence_url,evidence_locator,review_status,checked_date,reviewer,note
LV-M098-01,M098,I001,TB-M098-01,PETマークのある飲料・調味料用ペットボトル,ふたとラベルを外して中を水洗いする,対象外・汚れが落ちない容器は公式案内を確認,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「ペットボトル」,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,画像の通常状態を採点
LV-M098-01,M098,I004,TB-M098-03,中を空にして洗った飲料用アルミ缶,中を簡単に洗う,地域により網袋・コンテナの細部が異なる,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「資源回収」アルミ缶,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,袋色差は教材箱を分けない
LV-M098-01,M098,I006,TB-M098-03,中を空にして洗った飲食物用ガラスびん,ふたを外して中を簡単に洗う,地域により色別コンテナ等の細部が異なる,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「資源回収」生きびん・駄びん,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,コンテナ細分は教材箱を分けない
LV-M098-01,M098,I007,TB-M098-02,プラマークがあり汚れを落とした白色食品トレー,中身を使い切って洗う,中身や汚れが残る物は公式案内を確認,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「容器包装プラスチック」,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,画像の通常状態を採点
LV-M098-01,M098,I013,TB-M098-03,家庭から出る乾いた新聞紙,チラシとまとめてひもで十文字にしばる,汚れた紙は公式案内を確認,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「資源回収」紙類,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,地域別の回収細部は投影しない
LV-M098-01,M098,I014,TB-M098-03,家庭から出る乾いた段ボール,折りたたんでひもで十文字にしばる,汚れた物は公式案内を確認,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「資源回収」紙類,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,地域別の回収細部は投影しない
LV-M098-01,M098,I017,TB-M098-03,内側にアルミがなく洗える飲料用紙パック,水洗いして開く,内側にアルミがある物はもやせるごみ,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「資源回収」飲料用紙パック,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,画像の通常状態を採点
LV-M098-01,M098,I029,TB-M098-04,破損・膨張のない家庭用モバイルバッテリー,種類ごとに透明袋へ分ける,異常品は市へ相談して確認,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「有害ごみ」充電式電池,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,詳細経路は学習者UIへ出さない
LV-M098-01,M098,I031,TB-M098-04,画像どおりの割れていない家庭用電球,購入時の箱に入れる,細かな製品差は配属後に公式案内を確認,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「有害ごみ」蛍光灯・電球・LED,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,6 scopeの公式資料上の表記差はM098-FIXED10-V1で有害ごみ系へ教材正規化
LV-M098-01,M098,I033,TB-M098-04,中身を使い切った使い捨てライター,他の種類と混ぜず透明袋へ分ける,中身が残る物は市へ相談して確認,S-M098-01,https://www.city.onomichi.hiroshima.jp/soshiki/16/3029.html,「有害ごみ」ガスライター,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,詳細手順は学習者UIへ出さない
LV-M099-01,M099,I001,TB-M099-01-01,PETマークのあるペットボトル容器,ふたとラベルを外して中を洗う,汚れが落ちない物は燃やせるごみ,S-M099-01,https://www.city.fukuyama.hiroshima.jp/uploaded/life/395517_2433553_misc.pdf,1頁「容器包装プラスチックごみ」,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,画像の通常状態を採点
LV-M099-01,M099,I004,TB-M099-01-02,中を空にした飲料用アルミ缶,中を洗う,対象外の金属製品は品目別に確認,S-M099-01,https://www.city.fukuyama.hiroshima.jp/uploaded/life/395517_2433553_misc.pdf,1頁「資源ごみ」缶類,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,画像の通常状態を採点
LV-M099-01,M099,I006,TB-M099-01-02,中を空にした飲食物用ガラスびん,ふたを外して中を洗う,ガラス製品等は不燃（破砕）ごみ,S-M099-01,https://www.city.fukuyama.hiroshima.jp/uploaded/life/395517_2433553_misc.pdf,1頁「資源ごみ」びん類,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,画像の通常状態を採点
LV-M099-01,M099,I007,TB-M099-01-01,汚れを落としたプラスチック製食品トレー,中身を除き洗う,汚れが落ちない物は燃やせるごみ,S-M099-01,https://www.city.fukuyama.hiroshima.jp/uploaded/life/395517_2433553_misc.pdf,1頁「容器包装プラスチックごみ」トレイ,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,画像の通常状態を採点
LV-M099-01,M099,I013,TB-M099-01-03,家庭から出る乾いた新聞,ひもでまとめる,走島町では通常紙類収集外,S-M099-01,https://www.city.fukuyama.hiroshima.jp/uploaded/life/395517_2433553_misc.pdf,1頁「紙類（走島町を除く。）」新聞,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,一般地域の通常枝
LV-M099-01,M099,I014,TB-M099-01-03,家庭から出る乾いた段ボール,折りたたんでひもでまとめる,走島町では通常紙類収集外,S-M099-01,https://www.city.fukuyama.hiroshima.jp/uploaded/life/395517_2433553_misc.pdf,1頁「紙類（走島町を除く。）」段ボール,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,一般地域の通常枝
LV-M099-01,M099,I017,TB-M099-01-06,洗って開いた飲料用紙パック,地域・拠点回収の案内を確認する,通常紙類の3品目には含まれない,S-M099-01,https://www.city.fukuyama.hiroshima.jp/uploaded/life/395517_2433553_misc.pdf,1頁「紙類」主な品目（新聞・雑誌・段ボール）,COMPLETE,2026-08-27,OPENAI_CODEX_M098_M099_LESSON_VARIANT_V1,詳細な回収場所は教材へ出さない
