municipality_id,都道府県,市町村,実装区分,備考,出典URL
M001,岩手県,山田町,個別指定,ユーザー指定（企業所在地等）,
M002,岩手県,奥州市,個別指定,ユーザー指定（企業所在地等）,
M003,岩手県,西和賀町,個別指定,ユーザー指定（企業所在地等）,
M004,岩手県,紫波町,個別指定,ユーザー指定（企業所在地等）,
M005,宮城県,石巻市,個別指定,ユーザー指定（企業所在地等）,
M006,宮城県,大河原町,個別指定,ユーザー指定（企業所在地等）,
M007,宮城県,加美町,個別指定,ユーザー指定（企業所在地等）,
M008,山形県,白鷹町,個別指定,ユーザー指定（企業所在地等）,
M009,山形県,大江町,個別指定,ユーザー指定（企業所在地等）,
M010,栃木県,宇都宮市,個別指定,ユーザー指定（企業所在地等）,
M011,群馬県,大泉町,個別指定,ユーザー指定（企業所在地等）,
M012,埼玉県,幸手市,個別指定,ユーザー指定（企業所在地等）,
M013,東京都,港区,個別指定,ユーザー指定（企業所在地等）,
M014,東京都,墨田区,個別指定,ユーザー指定（企業所在地等）,
M015,東京都,中央区,個別指定,ユーザー指定（企業所在地等）,
M016,神奈川県,三浦市,個別指定,ユーザー指定（企業所在地等）,
M017,新潟県,新潟市,個別指定,ユーザー指定（企業所在地等）,
M018,岐阜県,瑞穂市,個別指定,ユーザー指定（企業所在地等）,
M019,岐阜県,山県市,個別指定,ユーザー指定（企業所在地等）,
M020,静岡県,静岡市,個別指定,ユーザー指定（企業所在地等）,
M021,三重県,津市,個別指定,ユーザー指定（企業所在地等）,
M022,大阪府,四條畷市,個別指定,ユーザー指定（企業所在地等）,
M023,大阪府,大阪市,個別指定,ユーザー指定（企業所在地等）,
M024,兵庫県,神戸市,個別指定,ユーザー指定（企業所在地等）,
M025,兵庫県,豊岡市,個別指定,ユーザー指定（企業所在地等）,
M026,兵庫県,姫路市,個別指定,ユーザー指定（企業所在地等）,
M027,奈良県,大和郡山市,個別指定,ユーザー指定（企業所在地等）,
M028,和歌山県,由良町,個別指定,ユーザー指定（企業所在地等）,
M029,鳥取県,鳥取市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M030,鳥取県,米子市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M031,鳥取県,倉吉市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M032,鳥取県,境港市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M033,鳥取県,岩美町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M034,鳥取県,若桜町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M035,鳥取県,智頭町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M036,鳥取県,八頭町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M037,鳥取県,三朝町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M038,鳥取県,湯梨浜町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M039,鳥取県,琴浦町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M040,鳥取県,北栄町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M041,鳥取県,日吉津村,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M042,鳥取県,大山町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M043,鳥取県,南部町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M044,鳥取県,伯耆町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M045,鳥取県,日南町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M046,鳥取県,日野町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M047,鳥取県,江府町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
M048,島根県,松江市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M049,島根県,浜田市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M050,島根県,出雲市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M051,島根県,益田市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M052,島根県,大田市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M053,島根県,安来市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M054,島根県,江津市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M055,島根県,雲南市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M056,島根県,奥出雲町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M057,島根県,飯南町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M058,島根県,川本町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M059,島根県,美郷町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M060,島根県,邑南町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M061,島根県,津和野町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M062,島根県,吉賀町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M063,島根県,海士町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M064,島根県,西ノ島町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M065,島根県,知夫村,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M066,島根県,隠岐の島町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
M067,岡山県,岡山市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M068,岡山県,倉敷市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M069,岡山県,津山市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M070,岡山県,玉野市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M071,岡山県,笠岡市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M072,岡山県,井原市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M073,岡山県,総社市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M074,岡山県,高梁市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M075,岡山県,新見市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M076,岡山県,備前市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M077,岡山県,瀬戸内市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M078,岡山県,赤磐市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M079,岡山県,真庭市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M080,岡山県,美作市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M081,岡山県,浅口市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M082,岡山県,和気町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M083,岡山県,早島町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M084,岡山県,里庄町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M085,岡山県,矢掛町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M086,岡山県,新庄村,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M087,岡山県,鏡野町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M088,岡山県,勝央町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M089,岡山県,奈義町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M090,岡山県,西粟倉村,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M091,岡山県,久米南町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M092,岡山県,美咲町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M093,岡山県,吉備中央町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
M094,広島県,広島市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M095,広島県,呉市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M096,広島県,竹原市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M097,広島県,三原市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M098,広島県,尾道市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M099,広島県,福山市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M100,広島県,府中市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M101,広島県,三次市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M102,広島県,庄原市,中国5県全市町村,広島県庄原市を含む,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M103,広島県,大竹市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M104,広島県,東広島市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M105,広島県,廿日市市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M106,広島県,安芸高田市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
M107,広島県,江田島市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
