municipality_id,prefecture,municipality_name,implementation_status,priority_status,priority_basis,company_link_status,readiness_status_snapshot,checked_date,note
M001,岩手県,山田町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M002,岩手県,奥州市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M003,岩手県,西和賀町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M004,岩手県,紫波町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M005,宮城県,石巻市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M006,宮城県,大河原町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M007,宮城県,加美町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M008,山形県,白鷹町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M009,山形県,大江町,IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,APP_READY,2026-08-31,40品目APP_READY。会社紐付けはrouting metadataのみ。
M010,栃木県,宇都宮市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M011,群馬県,大泉町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M012,埼玉県,幸手市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M013,東京都,港区,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M014,東京都,墨田区,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M015,東京都,中央区,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M016,神奈川県,三浦市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M017,新潟県,新潟市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M018,岐阜県,瑞穂市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M019,岐阜県,山県市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M020,静岡県,静岡市,IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,APP_READY,2026-08-31,40品目APP_READY。会社紐付けはrouting metadataであり、ごみルール根拠には使用しない。
M021,三重県,津市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M022,大阪府,四條畷市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M023,大阪府,大阪市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M024,兵庫県,神戸市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M025,兵庫県,豊岡市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M026,兵庫県,姫路市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M027,奈良県,大和郡山市,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
M028,和歌山県,由良町,NOT_IMPLEMENTED,PRIORITY,USER_SPECIFIED_MASTER_36,PENDING_COMPANY_LINK,NOT_LESSON_READY,2026-08-28,企業紐付け一次ソースはreadinessに使用しない。repository内で未登録のため推測しない
