都道府県,市町村,実装区分,備考,出典URL
岩手県,山田町,個別指定,ユーザー指定（企業所在地等）,
岩手県,奥州市,個別指定,ユーザー指定（企業所在地等）,
岩手県,西和賀町,個別指定,ユーザー指定（企業所在地等）,
岩手県,紫波町,個別指定,ユーザー指定（企業所在地等）,
宮城県,石巻市,個別指定,ユーザー指定（企業所在地等）,
宮城県,大河原町,個別指定,ユーザー指定（企業所在地等）,
宮城県,加美町,個別指定,ユーザー指定（企業所在地等）,
山形県,白鷹町,個別指定,ユーザー指定（企業所在地等）,
山形県,大江町,個別指定,ユーザー指定（企業所在地等）,
栃木県,宇都宮市,個別指定,ユーザー指定（企業所在地等）,
群馬県,大泉町,個別指定,ユーザー指定（企業所在地等）,
埼玉県,幸手市,個別指定,ユーザー指定（企業所在地等）,
東京都,港区,個別指定,ユーザー指定（企業所在地等）,
東京都,墨田区,個別指定,ユーザー指定（企業所在地等）,
東京都,中央区,個別指定,ユーザー指定（企業所在地等）,
神奈川県,三浦市,個別指定,ユーザー指定（企業所在地等）,
新潟県,新潟市,個別指定,ユーザー指定（企業所在地等）,
岐阜県,瑞穂市,個別指定,ユーザー指定（企業所在地等）,
岐阜県,山県市,個別指定,ユーザー指定（企業所在地等）,
静岡県,静岡市,個別指定,ユーザー指定（企業所在地等）,
三重県,津市,個別指定,ユーザー指定（企業所在地等）,
大阪府,四條畷市,個別指定,ユーザー指定（企業所在地等）,
大阪府,大阪市,個別指定,ユーザー指定（企業所在地等）,
兵庫県,神戸市,個別指定,ユーザー指定（企業所在地等）,
兵庫県,豊岡市,個別指定,ユーザー指定（企業所在地等）,
兵庫県,姫路市,個別指定,ユーザー指定（企業所在地等）,
奈良県,大和郡山市,個別指定,ユーザー指定（企業所在地等）,
和歌山県,由良町,個別指定,ユーザー指定（企業所在地等）,
鳥取県,鳥取市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,米子市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,倉吉市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,境港市,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,岩美町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,若桜町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,智頭町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,八頭町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,三朝町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,湯梨浜町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,琴浦町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,北栄町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,日吉津村,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,大山町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,南部町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,伯耆町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,日南町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,日野町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
鳥取県,江府町,中国5県全市町村,,https://www.pref.tottori.lg.jp/9577.htm
島根県,松江市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,浜田市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,出雲市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,益田市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,大田市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,安来市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,江津市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,雲南市,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,奥出雲町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,飯南町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,川本町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,美郷町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,邑南町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,津和野町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,吉賀町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,海士町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,西ノ島町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,知夫村,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
島根県,隠岐の島町,中国5県全市町村,,https://www.pref.shimane.lg.jp/link01.html
岡山県,岡山市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,倉敷市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,津山市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,玉野市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,笠岡市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,井原市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,総社市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,高梁市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,新見市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,備前市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,瀬戸内市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,赤磐市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,真庭市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,美作市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,浅口市,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,和気町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,早島町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,里庄町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,矢掛町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,新庄村,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,鏡野町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,勝央町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,奈義町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,西粟倉村,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,久米南町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,美咲町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
岡山県,吉備中央町,中国5県全市町村,,https://www.pref.okayama.jp/page/1000.html
広島県,広島市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,呉市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,竹原市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,三原市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,尾道市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,福山市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,府中市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,三次市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,庄原市,中国5県全市町村,広島県庄原市を含む,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,大竹市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,東広島市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,廿日市市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,安芸高田市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,江田島市,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,府中町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,海田町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,熊野町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,坂町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,安芸太田町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,北広島町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,大崎上島町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,世羅町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
広島県,神石高原町,中国5県全市町村,,https://www.pref.hiroshima.lg.jp/site/kankeikikanlink/1172556346224.html
山口県,下関市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,宇部市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,山口市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,萩市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,防府市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,下松市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,岩国市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,光市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,長門市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,柳井市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,美祢市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
山口県,周南市,中国5県全市町村,,https://www.pref.yamaguchi.lg.jp/site/senkyo/25911.html
