mapping_id,municipality_id,internal_item_id,branch_order,自治体での品目表記,category_id,分別区分正式名称,条件,前処理,例外分別先,自治体収集外,rule_status,effective_from,effective_to,category_source_id,category_source_url,category_source_locator,item_evidence_source_id,item_evidence_url,item_evidence_locator,確認日,mapping_status,evidence_scope,branch_review_status,reviewed_date,reviewed_by,備考
MAP-M001-I001-01,M001,I001,1,ペットボトル,C-M001-06,ペットボトル,PET対象,中を洗いキャップとラベルを外す,汚れ残りは燃やせるごみ・キャップラベルはプラスチック,FALSE,CURRENT,,,S-M001-02,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/3/_/gominodashikataposter6_3.pdf,ペットボトル,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:ペットボトル + ペットボトル,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I004-01,M001,I004,1,アルミ缶,C-M001-07,缶類,中身を口にできる缶,中を洗う・アルミとスチールは分けない,対象外は燃やせないごみ,FALSE,CURRENT,,,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,P4 缶類,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:アルミ缶 + 缶類,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I005-01,M001,I005,1,スチール缶,C-M001-07,缶類,中身を口にできる缶,中を洗う・アルミとスチールは分けない,対象外は燃やせないごみ,FALSE,CURRENT,,,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,P4 缶類,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:スチール缶 + 缶類,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I006-01,M001,I006,1,category正式名称・代表品目から機械抽出,C-M001-08,びん類（無色・茶色・その他の色）・リターナブルびん,飲食用で中を洗えるびん,中を洗う・リターナブルびんは他と分け壊れないようにする,対象外は燃やせないごみ,FALSE,CURRENT,,,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,P4 びん類,,,,2026-08-17,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,区分レベルデータから機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M001-I012-01,M001,I012,1,発泡スチロール,C-M001-01,燃やせるごみ,指定袋に入る可燃物,水切り・金具除去・枝は切断・紙おむつ汚物除去,指定袋に入らなければ粗大ごみ,FALSE,CURRENT,,,S-M001-02,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/3/_/gominodashikataposter6_3.pdf,燃やせるごみ,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:発泡スチロール + 燃やせるごみ,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I013-01,M001,I013,1,新聞,C-M001-12,新聞紙,新聞と折込チラシ,異物を外す,その他は雑誌等または燃やせるごみ,FALSE,CURRENT,,,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,P4 新聞紙,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:新聞 + 新聞紙,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I014-01,M001,I014,1,ダンボール,C-M001-11,ダンボール,ダンボールマーク等の対象品,異物を外す,汚れ残りは燃やせるごみ,FALSE,CURRENT,,,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,P4 ダンボール,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:ダンボール + ダンボール,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I015-01,M001,I015,1,雑誌,C-M001-13,雑誌,再生可能な雑誌等,異物を外す,感熱紙等は燃やせるごみ,FALSE,CURRENT,,,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,P4 雑誌,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:雑誌 + 雑誌,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I017-01,M001,I017,1,紙パック,C-M001-10,飲料用紙パック,飲料用紙パック,洗い開いて乾かす,銀色内装は紙製容器包装,FALSE,CURRENT,,,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,P4 飲料用紙パック,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,text-match:紙パック + 飲料用紙パック,2026-08-20,VERIFIED,ITEM_SPECIFIC,INCOMPLETE,2026-08-20,AUTO_DIRECT_ITEM_EVIDENCE_V1,公式本文で品目表記と既存category正式名称の近接共起を確認。category assignmentは変更せず、条件枝完全性は次工程でレビュー。
MAP-M001-I021-01,M001,I021,1,category正式名称・代表品目から機械抽出,C-M001-01,燃やせるごみ,指定袋に入る可燃物,水切り・金具除去・枝は切断・紙おむつ汚物除去,指定袋に入らなければ粗大ごみ,FALSE,CURRENT,,,S-M001-02,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/3/_/gominodashikataposter6_3.pdf,燃やせるごみ,,,,2026-08-17,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,区分レベルデータから機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
