municipality_id,candidate_id,source_page,anchor_text,official_url,host,authority_type,fetch_status,http_status,text_chars,item_hit_count,category_hit_count,matched_items,recommended,reason,checked_date
M001,DISC-M001-F84302A1D0,https://www.town.yamada.iwate.jp/docs/8354.html,ごみの分別受入れ辞典,http://www.miyako-kouiki.jp/10ukeire_jiten.html,www.miyako-kouiki.jp,INTERMUNICIPAL_AUTHORITY_DOMAIN,OK,200,2558,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M004,DISC-M004-F57E521260,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】資源ごみ／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2348.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,2386,10,12,I002|I013|I014|I015|I017|I018|I019|I021|I027|I032,TRUE,high-value official item/index text,2026-08-20
M004,DISC-M004-C21B48CE20,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】燃やせるごみ／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2360.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,1423,6,6,I018|I027|I032|I033|I039|I040,TRUE,high-value official item/index text,2026-08-20
M004,DISC-M004-FC8704DD8A,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】有害・危険ごみ及び乾電池／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2353.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,1491,5,8,I018|I027|I030|I031|I033,TRUE,high-value official item/index text,2026-08-20
M004,DISC-M004-D4FAB31E36,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】収集・受入しないもの／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2358.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,3000,5,6,I018|I021|I027|I037|I038,TRUE,high-value official item/index text,2026-08-20
M004,DISC-M004-6F896AA4F3,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】大形・不燃ごみ／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,1977,3,6,I018|I024|I027,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M004,DISC-M004-953043E75C,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,ごみの分け方と出し方,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,1103,2,6,I018|I027,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M004,DISC-M004-676C0B1AC1,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】生ごみ／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2346.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,1664,2,6,I018|I027,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M004,DISC-M004-C9EB931814,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】直接搬入ごみ／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2357.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,1808,2,6,I018|I027,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M004,DISC-M004-D52F7F9659,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,【ごみの分け方と出し方】その他のごみ／紫波町,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2359.html/,www.town.shiwa.iwate.jp,MUNICIPAL_DOMAIN,OK,200,1464,2,6,I018|I027,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
