municipality_id,internal_item_id,branch_order,canonical_name,display_name,official_item_wording,category_id,category_name,condition,preparation,exception_destination,evidence_basis,item_evidence_source_id,item_evidence_url,item_evidence_locator,branch_review_status,checked_date,reviewer,note
M104,I001,1,ペットボトル,ペットボトル,ペットボトル,C-M104-08,ペットボトル,飲料・酒類・しょうゆ等のPETマーク付きボトル,キャップとラベルを外し、中を軽くすすいで紫色指定袋へ入れる,キャップ・ラベルはリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表59頁『ペットボトル』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I002,1,ペットボトルのキャップ,キャップ,ペットボトルのキャップ,C-M104-09,リサイクルプラ,ペットボトルから外したプラスチック製キャップ,本体から外し、汚れを取って紫色指定袋へ入れる,金属製のびん・ボトルのふたはビン・缶,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表57頁『ペットボトル』備考・『ペットボトルの蓋』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I003,1,ペットボトルのラベル,ラベル,ペットボトルのラベル,C-M104-09,リサイクルプラ,ペットボトルから外したプラスチック製ラベル,本体から外し、紫色指定袋へ入れる,本体はペットボトル,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表57頁『ペットボトル』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I004,1,アルミ缶,アルミ缶,アルミ缶（飲食物用）,C-M104-07,ビン・缶,飲食物用のアルミ缶,中身を使い切り、軽くすすいで紫色指定袋へ入れる,できるだけ資源回収ステーションも利用する,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表33頁『アルミ缶（飲食物用）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I005,1,スチール缶,スチール缶,スチール缶（飲料・食品用）,C-M104-07,ビン・缶,飲料・食品用のスチール缶,中身を使い切り、軽くすすいで紫色指定袋へ入れる,一斗缶以上の大きさは燃やせない粗大ごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表45頁『スチール缶（飲料・食品用）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I006,1,ガラスびん,びん,飲料・食品用のびん,C-M104-07,ビン・缶,飲料・食品用のガラスびん,ふたを外し、中を軽くすすいで紫色指定袋へ入れる,化粧品びん・果実酒用びん・ガラス製品は危険ごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表の飲料・食品用びん各行,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I006,2,ガラスびん,びん,飲食物用以外のガラスびん,C-M104-02,危険ごみ,化粧品びん又は果実酒をつくる大型びん,新聞紙などに包み、オレンジ色指定袋へ入れる,飲料・食品用びんはビン・缶,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表40頁『果実酒をつくるびん』・44頁『化粧品のびん』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I007,1,白色食品トレー,白いトレー,白色食品トレイ,C-M104-09,リサイクルプラ,プラマークのある白色食品トレイで汚れが取れる物,中身と汚れを取り、紫色指定袋へ入れる,プラマークがない物はその他プラ、汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表51頁『トレイ（食品用）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I007,2,白色食品トレー,白いトレー,プラマークのない白色食品トレイ,C-M104-03,その他プラ,プラマークのない白色食品トレイ,中身を空にして紫色指定袋へ入れる,プラマーク付きはリサイクルプラ、汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表51頁『トレイ（食品用）』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I007,3,白色食品トレー,白いトレー,汚れが取れない白色食品トレイ,C-M104-01,燃やせるごみ,洗っても汚れが取れない白色食品トレイ,中身を空にしてオレンジ色指定袋へ入れる,汚れが取れるプラマーク付きはリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表のリサイクルプラ品目共通『汚れが取れないもの』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I008,1,色柄食品トレー,色のトレー,色柄食品トレイ,C-M104-09,リサイクルプラ,プラマークのある色柄食品トレイで汚れが取れる物,中身と汚れを取り、紫色指定袋へ入れる,プラマークがない物はその他プラ、汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表51頁『トレイ（食品用）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I008,2,色柄食品トレー,色のトレー,プラマークのない色柄食品トレイ,C-M104-03,その他プラ,プラマークのない色柄食品トレイ,中身を空にして紫色指定袋へ入れる,プラマーク付きはリサイクルプラ、汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表51頁『トレイ（食品用）』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I008,3,色柄食品トレー,色のトレー,汚れが取れない色柄食品トレイ,C-M104-01,燃やせるごみ,洗っても汚れが取れない色柄食品トレイ,中身を空にしてオレンジ色指定袋へ入れる,汚れが取れるプラマーク付きはリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表のリサイクルプラ品目共通『汚れが取れないもの』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I009,1,弁当容器,弁当の容器,弁当の容器（プラスチック製）,C-M104-09,リサイクルプラ,商品包装のプラスチック製弁当容器で汚れが取れる物,中身と汚れを取り、紫色指定袋へ入れる,汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表57頁『弁当の容器（プラスチック製・コンビニなど）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I009,2,弁当容器,弁当の容器,弁当箱（プラスチック製）,C-M104-03,その他プラ,商品包装ではないプラスチック製弁当箱,中身を空にして紫色指定袋へ入れる,商品包装の弁当容器はリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表57頁『弁当箱（プラスチック製）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I009,3,弁当容器,弁当の容器,汚れが取れない弁当容器,C-M104-01,燃やせるごみ,洗っても汚れが取れないプラスチック製弁当容器,中身を空にしてオレンジ色指定袋へ入れる,汚れが取れる商品包装容器はリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表57頁『弁当の容器』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I010,1,お菓子の袋,お菓子の袋,菓子袋（プラスチック製）,C-M104-09,リサイクルプラ,プラスチック製菓子袋で汚れが取れる物,中身を空にして紫色指定袋へ入れる,紙製又は汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表36頁『菓子袋（プラスチック製）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I010,2,お菓子の袋,お菓子の袋,汚れが取れない菓子袋,C-M104-01,燃やせるごみ,汚れが取れないプラスチック製菓子袋,中身が飛散しないようオレンジ色指定袋へ入れる,汚れが取れる物はリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表のリサイクルプラ品目共通『汚れが取れないもの』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I010,3,お菓子の袋,お菓子の袋,紙製の菓子袋,C-M104-01,燃やせるごみ,紙製の菓子袋,中身を空にしてオレンジ色指定袋へ入れる,紙製の菓子箱は雑誌・雑がみ・ダンボール,OFFICIAL_RULE_DERIVED,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表の紙製防水加工容器・紙くず各行,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I011,1,レジ袋,レジ袋,商品の包装に使われたレジ袋,C-M104-09,リサイクルプラ,購入した商品の包装として使われたレジ袋で汚れが取れる物,中身を空にして紫色指定袋へ入れる,家庭で包装以外に使った物はその他プラ、汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表61頁『レジ袋』・60頁『ラップ』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I011,2,レジ袋,レジ袋,包装以外に使ったレジ袋,C-M104-03,その他プラ,家庭で商品包装以外の用途に使ったプラスチック袋,中身を空にして紫色指定袋へ入れる,購入商品の包装はリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表61頁『レジ袋』・60頁『ラップ』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I011,3,レジ袋,レジ袋,汚れが取れないレジ袋,C-M104-01,燃やせるごみ,汚れが取れないプラスチック袋,中身が飛散しないようオレンジ色指定袋へ入れる,汚れが取れる物は用途によりリサイクルプラ又はその他プラ,OFFICIAL_RULE_DERIVED,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表60頁『ラップ』備考（汚れが取れないもの）,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I012,1,発泡スチロール,発泡スチロール,商品保護用の発泡スチロール,C-M104-09,リサイクルプラ,商品を保護するプラスチック製緩衝材で汚れが取れる物,汚れを取り、紫色指定袋へ入れる,紙製又は汚れが取れない物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表38頁『緩衝材（プラスチック製）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I012,2,発泡スチロール,発泡スチロール,容器包装でない発泡スチロール製品,C-M104-03,その他プラ,商品を保護する容器包装ではないプラスチックのみの発泡製品,指定袋に入る大きさにして紫色指定袋へ入れる,商品保護用はリサイクルプラ、指定袋に入らない物は燃やせない粗大ごみ,OFFICIAL_RULE_DERIVED,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表のプラマークのないプラスチック製品ルール,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I012,3,発泡スチロール,発泡スチロール,指定袋に入らない発泡スチロール製品,C-M104-11,燃やせない粗大ごみ,容器包装でなく40L指定袋に入らない発泡スチロール製品,散乱しないようまとめて燃やせない粗大ごみとして出す,指定袋に入る物はその他プラ,OFFICIAL_RULE_DERIVED,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表のプラスチック製品サイズ共通ルール,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I012,4,発泡スチロール,発泡スチロール,紙製又は汚れが取れない緩衝材,C-M104-01,燃やせるごみ,紙製の緩衝材又は汚れが取れないプラスチック製緩衝材,オレンジ色指定袋へ入れる,汚れが取れるプラスチック製商品保護材はリサイクルプラ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表38頁『緩衝材』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I013,1,新聞,新聞,新聞,C-M104-05,新聞,新聞・折込チラシ,高さ20cmまでにしてひもで縛る,PTA・自治会・店舗の資源回収も利用する,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表44頁『新聞』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I014,1,段ボール,段ボール,ダンボール,C-M104-06,雑誌・雑がみ・ダンボール,家庭から出るダンボール,50cm×100cm以下に畳み、ガムテープ・伝票を外し、高さ20cmまでひもで縛る,汚れた物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表47頁『ダンボール』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I015,1,雑誌,雑誌,雑誌,C-M104-06,雑誌・雑がみ・ダンボール,家庭から出る雑誌,高さ20cmまでにしてひもで縛る,PTA・自治会・店舗の資源回収も利用する,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表42頁『雑誌』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I016,1,雑紙・菓子箱,紙の箱,雑がみ・紙製菓子箱,C-M104-06,雑誌・雑がみ・ダンボール,再生可能な紙製の箱・包装紙・紙袋等,異物を外し、高さ20cmまでにしてひもで縛る,感熱紙・圧着はがき・防水加工紙・汚れた紙は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表36頁『菓子箱（紙製）』・紙袋等,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I016,2,雑紙・菓子箱,紙の箱,再生できない雑紙,C-M104-01,燃やせるごみ,感熱紙・圧着はがき・防水加工紙又は汚れた紙,オレンジ色指定袋へ入れる,再生可能な紙製の箱・包装紙等は雑誌・雑がみ・ダンボール,OFFICIAL_RULE_DERIVED,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表38頁『感熱紙』・57頁『圧着はがき』等,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I017,1,紙パック,牛乳パック,紙パック（飲料用）,C-M104-06,雑誌・雑がみ・ダンボール,内側がアルミ加工されていない飲料用紙パック,切り開き、高さ20cmまでひもで縛る,内部がアルミ加工された物は燃やせるごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表37頁『紙パック（飲料用）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I017,2,紙パック,牛乳パック,内部がアルミ加工された紙パック,C-M104-01,燃やせるごみ,内部がアルミ加工された飲料用紙パック,中身を空にしてオレンジ色指定袋へ入れる,アルミ加工のない物は切り開いて雑誌・雑がみ・ダンボール,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表37頁『紙パック』備考,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I018,1,生ごみ,生ごみ,生ごみ,C-M104-01,燃やせるごみ,家庭から出る調理くず・残飯等の生ごみ,十分に水切りし、オレンジ色指定袋へ入れる,家庭菜園用コンポスト等による減量も可,OFFICIAL_RULE_DERIVED,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック7頁『燃やせるごみ』台所ごみ,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I019,1,使用済みティッシュ,ティッシュ,ティッシュペーパー,C-M104-01,燃やせるごみ,使用済みティッシュペーパー,オレンジ色指定袋へ入れる,紙箱はフィルムを外し雑誌・雑がみ・ダンボール,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表49頁『ティッシュペーパー』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I020,1,紙おむつ,おむつ,紙おむつ,C-M104-01,燃やせるごみ,家庭で使用した紙おむつ,汚物を取り除き、オレンジ色指定袋へ入れる,汚物はトイレへ流す,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表37頁『紙おむつ』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I021,1,衣類,服,衣類,C-M104-01,燃やせるごみ,家庭から出る衣類,オレンジ色指定袋へ入れる,再利用可能品は洗濯し、ひも又はビニール袋で古布・古着回収ボックスへ出せる,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表34頁『衣類』・ごみブック27頁,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I022,1,傘,傘,傘,C-M104-11,燃やせない粗大ごみ,家庭で使用した傘,燃やせない粗大ごみとして出す,分解した部材は材質ごとの案内に従う,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表36頁『傘』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I023,1,陶磁器,茶わん,陶磁器製の茶碗・皿,C-M104-02,危険ごみ,40L指定袋に入る陶磁器,新聞紙などに包み、オレンジ色指定袋へ入れる,プラスチック製・木製品は材質別、指定袋に入らない物は燃やせる粗大ごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表48頁『茶碗』・42頁『皿（陶磁器製）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I023,2,陶磁器,茶わん,指定袋に入らない陶磁器,C-M104-04,燃やせる粗大ごみ,40L指定袋に入らない大型陶磁器,破損しないようまとめて燃やせる粗大ごみとして出す,指定袋に入る物は危険ごみ,DIRECT_ITEM,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック19頁『燃やせる粗大ごみ』大型陶磁器,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I024,1,ガラス製品,コップ,ガラス製品,C-M104-02,危険ごみ,40L指定袋に入るガラス製コップ等,新聞紙などに包み、オレンジ色指定袋へ入れる,飲料・食品用びんはビン・缶、指定袋に入らない物は粗大ごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表41頁『コップ（ガラス製）』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I024,2,ガラス製品,コップ,指定袋に入らないガラス製品,C-M104-04,燃やせる粗大ごみ,40L指定袋に入らない大型ガラス製品（主に非金属枠）,破損しないようまとめて燃やせる粗大ごみとして出す,指定袋に入る物は危険ごみ、金属枠の大型品は燃やせない粗大ごみ,DIRECT_ITEM,IS-M104-04,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,ごみブック19頁『燃やせる粗大ごみ』大型ガラス,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I025,1,割れたガラス,割れたガラス,割れたガラス,C-M104-02,危険ごみ,指定袋に入る割れたガラス・ガラス片,新聞紙などに包み、オレンジ色指定袋へ入れる,飲料・食品用びんも割れた場合は危険防止のため包む,OFFICIAL_RULE_DERIVED,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表のガラス製コップ・皿等の危険ごみ行,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I026,1,包丁・刃物,包丁,包丁,C-M104-02,危険ごみ,包丁・カッター・かみそり等の刃物,刃を新聞紙などに包み、オレンジ色指定袋へ入れる,指定袋に入らない剪定ばさみ等は燃やせない粗大ごみ,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表57頁『包丁』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I027,1,乾電池,乾電池,乾電池,C-M104-10,有害ごみ,家庭用の使い切り乾電池,端子を絶縁し、オレンジ色指定袋で有害ごみとして出す,市役所等の電池回収ボックスも利用できる,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表38頁『乾電池』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I028,1,ボタン電池,ボタン電池,ボタン電池,C-M104-10,有害ごみ,家庭用のボタン電池・コイン電池,端子を絶縁し、オレンジ色指定袋で有害ごみとして出す,市役所等の電池回収ボックスも利用できる,DIRECT_ITEM,IS-M104-07,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_p33-62.pdf,早見表58頁『ボタン電池』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I029,1,モバイルバッテリー,モバイルバッテリー,モバイルバッテリー,C-M104-10,有害ごみ,40L指定袋に入る家庭用モバイルバッテリー（膨張・破損品を含む）,端子をテープで絶縁し、オレンジ色指定袋の有害ごみ又は市窓口へ手渡す,窓口回収では職員へ直接手渡し、回収ボックスへ入れない,DIRECT_ITEM,IS-M104-05,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/21260.html,小型充電式電池等『ごみステーション』・『窓口回収』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
M104,I029,2,モバイルバッテリー,モバイルバッテリー,大型のモバイルバッテリー,C-M104-11,燃やせない粗大ごみ,40L指定袋に入らないモバイルバッテリー,端子を絶縁し、燃やせない粗大ごみとして出す,40L指定袋に入る物は有害ごみ又は市窓口回収,DIRECT_ITEM,IS-M104-05,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/21260.html,小型充電式電池等『40L指定袋に入らないもの』,COMPLETE,2026-08-24,OPENAI_CODEX_M104_APP_READINESS_V1,公式品目行又は公式区分ルールと例外条件を手動照合。
