municipality_id,internal_item_id,category_id,category_name,url_role,official_url,alias,locator,snippet,checked_date
M030,I001,C-M030-06,ペットボトル,TOP,https://www.city.yonago.lg.jp/1879.htm,ペットボトル,text-match:ペットボトル + ペットボトル,クリーン推進課家庭ごみの出しかた事業ごみの出しかた米子市クリーンセンター市指定ごみ袋・収集シールごみ・し尿の処理手数料リサイクル推進員ごみを減らすために食品ロス削減の取組ボランティア清掃市民一斉清掃「よなごクリーン大作戦!」鳥取県西部一般廃棄物処理施設関連し尿のくみ取り計画・審議会などよくある質問(クリーン推進課)その他のお知らせ家庭ごみの出しかた家庭ごみの出しかた家庭ごみの分別・出し方家庭ごみの分別・出し方早見表ごみ分別収集カレンダー&健康ガイド・国保ガイド町名別ごみ収集地区一覧令和8年6月からリチウムイオン充電池類の収集を始めます火災や爆発の原因になりやすい危険物の分別についてクリーンセンターに「持ち込めないもの(不適物)」をご確認ください不要になった消火器の処分方法混合粗大ごみの処分について使用済み小型家電の回収を実施しています「電池類・蛍光管等」の回収ボックスを設置しています家電リサイクル(家電4品目)パソコンリサイクルペットボトルの水平リサイクルへの協力のお願い磁気テープは可燃物で簡易版ごみの分け方ガイドを作成しました(日本語ほか4か国語対応!)地区別ごみの分け方・収集日一覧表(英語、中国語、韓国語、ベトナム語)ごみ、資源物分別アプリ「さんあ~る」配信中!米子市一般廃棄物処理業(収集運搬業・処分業)許可業者廃家電などは正規の処理ルートで処分しましょう!ごみステーションのカラス対策ガイドブックを作成しましたモバイルバッテリーの処分方法加熱式たばこの処分方法ごみを自分で持ち込む場合イエローシールが貼られていたら...掲載日:2021年2月12日お問い合わせ先クリーン推進課所在地/〒683-0852鳥取県米子市河崎3280番地1(米子市クリーンセンター内)電話/0859-30-0270ファクシミリ/0859-30-0271eメール/clean@city.yonago.lg.jpページの先頭へ戻る広告バナー広告,2026-08-20
M030,I029,C-M030-06,ペットボトル,TOP,https://www.city.yonago.lg.jp/1879.htm,モバイルバッテリー,text-match:モバイルバッテリー + ペットボトル,ごみの分別・出し方早見表ごみ分別収集カレンダー&健康ガイド・国保ガイド町名別ごみ収集地区一覧令和8年6月からリチウムイオン充電池類の収集を始めます火災や爆発の原因になりやすい危険物の分別についてクリーンセンターに「持ち込めないもの(不適物)」をご確認ください不要になった消火器の処分方法混合粗大ごみの処分について使用済み小型家電の回収を実施しています「電池類・蛍光管等」の回収ボックスを設置しています家電リサイクル(家電4品目)パソコンリサイクルペットボトルの水平リサイクルへの協力のお願い磁気テープは可燃物で簡易版ごみの分け方ガイドを作成しました(日本語ほか4か国語対応!)地区別ごみの分け方・収集日一覧表(英語、中国語、韓国語、ベトナム語)ごみ、資源物分別アプリ「さんあ~る」配信中!米子市一般廃棄物処理業(収集運搬業・処分業)許可業者廃家電などは正規の処理ルートで処分しましょう!ごみステーションのカラス対策ガイドブックを作成しましたモバイルバッテリーの処分方法加熱式たばこの処分方法ごみを自分で持ち込む場合イエローシールが貼られていたら...掲載日:2021年2月12日お問い合わせ先クリーン推進課所在地/〒683-0852鳥取県米子市河崎3280番地1(米子市クリーンセンター内)電話/0859-30-0270ファクシミリ/0859-30-0271eメール/clean@city.yonago.lg.jpページの先頭へ戻る広告バナー広告を募集していますサイトマッププライバシーポリシーこのサイトの考えかたリンク・著作権このサイトの使いかた問い合わせ米子市役所〒683-8686鳥取県米子市加茂町一丁目1番地代表番号:0859-22-7111市役所庁舎案内開庁時間:平日午前9時から午後5時まで(祝日、年末年始を除く)パソコン画面表示スマートフォン表示,2026-08-20
M030,I030,C-M030-06,ペットボトル,TOP,https://www.city.yonago.lg.jp/1879.htm,蛍光管,text-match:蛍光管 + ペットボトル,米子ヨネギーズクラブ」現在位置トップ市の組織市民生活部クリーン推進課家庭ごみの出しかたクリーン推進課家庭ごみの出しかた事業ごみの出しかた米子市クリーンセンター市指定ごみ袋・収集シールごみ・し尿の処理手数料リサイクル推進員ごみを減らすために食品ロス削減の取組ボランティア清掃市民一斉清掃「よなごクリーン大作戦!」鳥取県西部一般廃棄物処理施設関連し尿のくみ取り計画・審議会などよくある質問(クリーン推進課)その他のお知らせ家庭ごみの出しかた家庭ごみの出しかた家庭ごみの分別・出し方家庭ごみの分別・出し方早見表ごみ分別収集カレンダー&健康ガイド・国保ガイド町名別ごみ収集地区一覧令和8年6月からリチウムイオン充電池類の収集を始めます火災や爆発の原因になりやすい危険物の分別についてクリーンセンターに「持ち込めないもの(不適物)」をご確認ください不要になった消火器の処分方法混合粗大ごみの処分について使用済み小型家電の回収を実施しています「電池類・蛍光管等」の回収ボックスを設置しています家電リサイクル(家電4品目)パソコンリサイクルペットボトルの水平リサイクルへの協力のお願い磁気テープは可燃物で簡易版ごみの分け方ガイドを作成しました(日本語ほか4か国語対応!)地区別ごみの分け方・収集日一覧表(英語、中国語、韓国語、ベトナム語)ごみ、資源物分別アプリ「さんあ~る」配信中!米子市一般廃棄物処理業(収集運搬業・処分業)許可業者廃家電などは正規の処理ルートで処分しましょう!ごみステーションのカラス対策ガイドブックを作成しましたモバイルバッテリーの処分方法加熱式たばこの処分方法ごみを自分で持ち込む場合イエローシールが貼られていたら...掲載日:2021年2月12日お問い合わせ先クリーン推進課所在地/〒683-0852鳥取県米子市河崎3280番地1(米子市クリーンセンター内)電話/0859-30-0270ファクシミリ/0859-30-0271e,2026-08-20
M030,I034,C-M030-06,ペットボトル,TOP,https://www.city.yonago.lg.jp/1879.htm,小型家電,text-match:小型家電 + ペットボトル,告示・公示等例規集米子市のファンクラブ「米子ヨネギーズクラブ」現在位置トップ市の組織市民生活部クリーン推進課家庭ごみの出しかたクリーン推進課家庭ごみの出しかた事業ごみの出しかた米子市クリーンセンター市指定ごみ袋・収集シールごみ・し尿の処理手数料リサイクル推進員ごみを減らすために食品ロス削減の取組ボランティア清掃市民一斉清掃「よなごクリーン大作戦!」鳥取県西部一般廃棄物処理施設関連し尿のくみ取り計画・審議会などよくある質問(クリーン推進課)その他のお知らせ家庭ごみの出しかた家庭ごみの出しかた家庭ごみの分別・出し方家庭ごみの分別・出し方早見表ごみ分別収集カレンダー&健康ガイド・国保ガイド町名別ごみ収集地区一覧令和8年6月からリチウムイオン充電池類の収集を始めます火災や爆発の原因になりやすい危険物の分別についてクリーンセンターに「持ち込めないもの(不適物)」をご確認ください不要になった消火器の処分方法混合粗大ごみの処分について使用済み小型家電の回収を実施しています「電池類・蛍光管等」の回収ボックスを設置しています家電リサイクル(家電4品目)パソコンリサイクルペットボトルの水平リサイクルへの協力のお願い磁気テープは可燃物で簡易版ごみの分け方ガイドを作成しました(日本語ほか4か国語対応!)地区別ごみの分け方・収集日一覧表(英語、中国語、韓国語、ベトナム語)ごみ、資源物分別アプリ「さんあ~る」配信中!米子市一般廃棄物処理業(収集運搬業・処分業)許可業者廃家電などは正規の処理ルートで処分しましょう!ごみステーションのカラス対策ガイドブックを作成しましたモバイルバッテリーの処分方法加熱式たばこの処分方法ごみを自分で持ち込む場合イエローシールが貼られていたら...掲載日:2021年2月12日お問い合わせ先クリーン推進課所在地/〒683-0852鳥取県米子市河崎3280番地1(米子市クリーンセンター内)電話/0859-30-0270,2026-08-20
M030,I037,C-M030-06,ペットボトル,TOP,https://www.city.yonago.lg.jp/1879.htm,家電4品目,text-match:家電4品目 + ペットボトル,リーン推進課家庭ごみの出しかたクリーン推進課家庭ごみの出しかた事業ごみの出しかた米子市クリーンセンター市指定ごみ袋・収集シールごみ・し尿の処理手数料リサイクル推進員ごみを減らすために食品ロス削減の取組ボランティア清掃市民一斉清掃「よなごクリーン大作戦!」鳥取県西部一般廃棄物処理施設関連し尿のくみ取り計画・審議会などよくある質問(クリーン推進課)その他のお知らせ家庭ごみの出しかた家庭ごみの出しかた家庭ごみの分別・出し方家庭ごみの分別・出し方早見表ごみ分別収集カレンダー&健康ガイド・国保ガイド町名別ごみ収集地区一覧令和8年6月からリチウムイオン充電池類の収集を始めます火災や爆発の原因になりやすい危険物の分別についてクリーンセンターに「持ち込めないもの(不適物)」をご確認ください不要になった消火器の処分方法混合粗大ごみの処分について使用済み小型家電の回収を実施しています「電池類・蛍光管等」の回収ボックスを設置しています家電リサイクル(家電4品目)パソコンリサイクルペットボトルの水平リサイクルへの協力のお願い磁気テープは可燃物で簡易版ごみの分け方ガイドを作成しました(日本語ほか4か国語対応!)地区別ごみの分け方・収集日一覧表(英語、中国語、韓国語、ベトナム語)ごみ、資源物分別アプリ「さんあ~る」配信中!米子市一般廃棄物処理業(収集運搬業・処分業)許可業者廃家電などは正規の処理ルートで処分しましょう!ごみステーションのカラス対策ガイドブックを作成しましたモバイルバッテリーの処分方法加熱式たばこの処分方法ごみを自分で持ち込む場合イエローシールが貼られていたら...掲載日:2021年2月12日お問い合わせ先クリーン推進課所在地/〒683-0852鳥取県米子市河崎3280番地1(米子市クリーンセンター内)電話/0859-30-0270ファクシミリ/0859-30-0271eメール/clean@city.yonago.lg.jpペ,2026-08-20
M030,I037,C-M030-06,ペットボトル,TOP,https://www.city.yonago.lg.jp/1879.htm,家電４品目,text-match:家電４品目 + ペットボトル,リーン推進課家庭ごみの出しかたクリーン推進課家庭ごみの出しかた事業ごみの出しかた米子市クリーンセンター市指定ごみ袋・収集シールごみ・し尿の処理手数料リサイクル推進員ごみを減らすために食品ロス削減の取組ボランティア清掃市民一斉清掃「よなごクリーン大作戦!」鳥取県西部一般廃棄物処理施設関連し尿のくみ取り計画・審議会などよくある質問(クリーン推進課)その他のお知らせ家庭ごみの出しかた家庭ごみの出しかた家庭ごみの分別・出し方家庭ごみの分別・出し方早見表ごみ分別収集カレンダー&健康ガイド・国保ガイド町名別ごみ収集地区一覧令和8年6月からリチウムイオン充電池類の収集を始めます火災や爆発の原因になりやすい危険物の分別についてクリーンセンターに「持ち込めないもの(不適物)」をご確認ください不要になった消火器の処分方法混合粗大ごみの処分について使用済み小型家電の回収を実施しています「電池類・蛍光管等」の回収ボックスを設置しています家電リサイクル(家電4品目)パソコンリサイクルペットボトルの水平リサイクルへの協力のお願い磁気テープは可燃物で簡易版ごみの分け方ガイドを作成しました(日本語ほか4か国語対応!)地区別ごみの分け方・収集日一覧表(英語、中国語、韓国語、ベトナム語)ごみ、資源物分別アプリ「さんあ~る」配信中!米子市一般廃棄物処理業(収集運搬業・処分業)許可業者廃家電などは正規の処理ルートで処分しましょう!ごみステーションのカラス対策ガイドブックを作成しましたモバイルバッテリーの処分方法加熱式たばこの処分方法ごみを自分で持ち込む場合イエローシールが貼られていたら...掲載日:2021年2月12日お問い合わせ先クリーン推進課所在地/〒683-0852鳥取県米子市河崎3280番地1(米子市クリーンセンター内)電話/0859-30-0270ファクシミリ/0859-30-0271eメール/clean@city.yonago.lg.jpペ,2026-08-20
M030,I038,C-M030-06,ペットボトル,TOP,https://www.city.yonago.lg.jp/1879.htm,パソコン,text-match:パソコン + ペットボトル,家庭ごみの出しかたクリーン推進課家庭ごみの出しかた事業ごみの出しかた米子市クリーンセンター市指定ごみ袋・収集シールごみ・し尿の処理手数料リサイクル推進員ごみを減らすために食品ロス削減の取組ボランティア清掃市民一斉清掃「よなごクリーン大作戦!」鳥取県西部一般廃棄物処理施設関連し尿のくみ取り計画・審議会などよくある質問(クリーン推進課)その他のお知らせ家庭ごみの出しかた家庭ごみの出しかた家庭ごみの分別・出し方家庭ごみの分別・出し方早見表ごみ分別収集カレンダー&健康ガイド・国保ガイド町名別ごみ収集地区一覧令和8年6月からリチウムイオン充電池類の収集を始めます火災や爆発の原因になりやすい危険物の分別についてクリーンセンターに「持ち込めないもの(不適物)」をご確認ください不要になった消火器の処分方法混合粗大ごみの処分について使用済み小型家電の回収を実施しています「電池類・蛍光管等」の回収ボックスを設置しています家電リサイクル(家電4品目)パソコンリサイクルペットボトルの水平リサイクルへの協力のお願い磁気テープは可燃物で簡易版ごみの分け方ガイドを作成しました(日本語ほか4か国語対応!)地区別ごみの分け方・収集日一覧表(英語、中国語、韓国語、ベトナム語)ごみ、資源物分別アプリ「さんあ~る」配信中!米子市一般廃棄物処理業(収集運搬業・処分業)許可業者廃家電などは正規の処理ルートで処分しましょう!ごみステーションのカラス対策ガイドブックを作成しましたモバイルバッテリーの処分方法加熱式たばこの処分方法ごみを自分で持ち込む場合イエローシールが貼られていたら...掲載日:2021年2月12日お問い合わせ先クリーン推進課所在地/〒683-0852鳥取県米子市河崎3280番地1(米子市クリーンセンター内)電話/0859-30-0270ファクシミリ/0859-30-0271eメール/clean@city.yonago.lg.jpページの先頭へ,2026-08-20
M044,I034,C-M044-01,可燃ごみ,TOP,https://www.houki-town.jp/new1/10/12/gomi/,小型家電,text-match:小型家電 + 可燃ごみ,一般廃棄物(家庭ごみなど)|伯耆町公式ウェブサイト文字標準拡大背景色白黒青こんなときには戸籍・住民票・証明税金・保険・年金教育・子育て健康・医療福祉・介護暮らし・環境安心・安全公共施設産業振興企業支援広告事業入札・指名願施策・財政まちづくり観光・交流広報・広聴制度・法規人事選挙・議会・行政委員会議会からのお知らせ議会報(議会だより)議事録請願・陳情録画中継町議会提出議案概要議会審議結果その他home>伯耆町行政サイト[総合目次]>各課一覧>地域整備課・環境整備室>一般廃棄物(家庭ごみなど)一般廃棄物(家庭ごみなど)令和8年度ごみ収集カレンダー2026/03/11ごみの分別・出し方について2023/11/09使用済小型家電の回収について令和7年6月から使用済小型家電の回収を開始します。2025/05/23布類の収集について令和元年度から布類の収集を行っています。2023/11/08布類の分別にご協力ください(常設回収)布類の持込みによる回収のご案内です。2021/03/08混合粗大ごみの拠点回収について2026/02/12可燃ごみの直接搬入について町内から排出される家庭ごみ及び事業所ごみは、伯耆町と南部町の2町で運営するクリーンセンターで焼却処理をしています。2019/10/03伯耆町一般廃棄物処理業(収集運搬業)許可業者一般廃棄物の収集を依頼する場合は、伯耆町の許可した処理業者に依頼してください。2026/06/01伯耆町一般廃棄物処理計画について2025/04/16地域整備課・環境整備室お問い合わせ電話:0859-68-5539fax:0859-68-3866お問い合わせフォーム業務内容環境保全・清掃・ごみ建設・道路省エネルギー犬・猫,2026-08-20
M044,I034,C-M044-01,可燃ごみ,TOP,https://www.houki-town.jp/new1/10/12/gomi/,小型家電,text-match:小型家電 + 可燃ごみ,一般廃棄物(家庭ごみなど)|伯耆町公式ウェブサイト文字標準拡大背景色白黒青こんなときには戸籍・住民票・証明税金・保険・年金教育・子育て健康・医療福祉・介護暮らし・環境安心・安全公共施設産業振興企業支援広告事業入札・指名願施策・財政まちづくり観光・交流広報・広聴制度・法規人事選挙・議会・行政委員会議会からのお知らせ議会報(議会だより)議事録請願・陳情録画中継町議会提出議案概要議会審議結果その他home>伯耆町行政サイト[総合目次]>各課一覧>地域整備課・環境整備室>一般廃棄物(家庭ごみなど)一般廃棄物(家庭ごみなど)令和8年度ごみ収集カレンダー2026/03/11ごみの分別・出し方について2023/11/09使用済小型家電の回収について令和7年6月から使用済小型家電の回収を開始します。2025/05/23布類の収集について令和元年度から布類の収集を行っています。2023/11/08布類の分別にご協力ください(常設回収)布類の持込みによる回収のご案内です。2021/03/08混合粗大ごみの拠点回収について2026/02/12可燃ごみの直接搬入について町内から排出される家庭ごみ及び事業所ごみは、伯耆町と南部町の2町で運営するクリーンセンターで焼却処理をしています。2019/10/03伯耆町一般廃棄物処理業(収集運搬業)許可業者一般廃棄物の収集を依頼する場合は、伯耆町の許可した処理業者に依頼してください。2026/06/01伯耆町一般廃棄物処理計画について2025/04/16地域整備課・環境整備室お問い合わせ電話:0859-68-5539fax:0859-68-3866お問い合わせフォーム業務内容環境保全・清掃・ごみ建設・道路省エネルギー犬・猫宅地分譲その他業務内容・担当者役場フロア図地,2026-08-20
M044,I034,C-M044-09,布類,TOP,https://www.houki-town.jp/new1/10/12/gomi/,小型家電,text-match:小型家電 + 布類,一般廃棄物(家庭ごみなど)|伯耆町公式ウェブサイト文字標準拡大背景色白黒青こんなときには戸籍・住民票・証明税金・保険・年金教育・子育て健康・医療福祉・介護暮らし・環境安心・安全公共施設産業振興企業支援広告事業入札・指名願施策・財政まちづくり観光・交流広報・広聴制度・法規人事選挙・議会・行政委員会議会からのお知らせ議会報(議会だより)議事録請願・陳情録画中継町議会提出議案概要議会審議結果その他home>伯耆町行政サイト[総合目次]>各課一覧>地域整備課・環境整備室>一般廃棄物(家庭ごみなど)一般廃棄物(家庭ごみなど)令和8年度ごみ収集カレンダー2026/03/11ごみの分別・出し方について2023/11/09使用済小型家電の回収について令和7年6月から使用済小型家電の回収を開始します。2025/05/23布類の収集について令和元年度から布類の収集を行っています。2023/11/08布類の分別にご協力ください(常設回収)布類の持込みによる回収のご案内です。2021/03/08混合粗大ごみの拠点回収について2026/02/12可燃ごみの直接搬入について町内から排出される家庭ごみ及び事業所ごみは、伯耆町と南部町の2町で運営するクリーンセンターで焼却処理をしています。2019/10/03伯耆町一般廃棄物処理業(収集運搬業)許可業者一般廃棄物の収集を依頼する場合は、伯耆町の許可した処理業者に依頼してください。2026/06/01伯耆町一般廃棄物処理計画について2025/04/16地域整備課・環境整備室お問い合わせ電話:0859-68-5539fax:0859-68-3866お問い合わせフォーム業務内容環境保全・清掃・ごみ建設・道路省エネルギー犬・猫,2026-08-20
