municipality_id,url_role,url,status,http_status,bytes,text_chars,error
M001,TOP,https://www.town.yamada.iwate.jp/kurashi/gomi/,OK,200,18518,1783,
M002,TOP,https://www.city.oshu.iwate.jp/kurashi_tetsuzuki/gomi_recycle/2/index.html,OK,200,52485,3013,
M011,TOP,https://www.town.oizumi.gunma.jp/li/kurashi/040/010/,OK,200,11783,2792,
M013,ITEM_SEARCH,https://www.city.minato.tokyo.jp/jigyoukeikaku/kurashi/gomi/kate/ha/index.html,OK,200,20233,2368,
M013,TOP,https://www.city.minato.tokyo.jp/jigyoukeikaku/kurashi/gomi/kate/,OK,200,31096,5211,
M014,ITEM_SEARCH,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/kateikei/gomi-50onbunbetu.html,OK,200,114693,51273,
M014,TOP,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/kateikei/gomi_dashikata/index.html,OK,200,49831,7481,
M015,ITEM_SEARCH,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/50onjyun230401.html,OK,200,19872,6102,
M015,TOP,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/index.html,ERROR,404,0,0,HTTPError: 404 Client Error: Not Found for url: https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/index.html
M020,ITEM_SEARCH,https://www.city.shizuoka.lg.jp/gomi/s009159.html,OK,200,17701,5509,
M021,TOP,https://www.info.city.tsu.mie.jp/kurashi/gomi_kankyo/index.html,OK,200,37833,6711,
M022,TOP,https://www.city.shijonawate.lg.jp/life/1/11/61/,ERROR,404,0,0,HTTPError: 404 Client Error: Not Found for url: https://www.city.shijonawate.lg.jp/life/1/11/61/
M024,GUIDE,https://www.city.kobe.lg.jp/a04164/kurashi/recycle/gomi/dashikata/bunbetsukubun/bunbetsuflowchart.html,OK,200,13644,1729,
