municipality_id,source_id,url,http_status,bytes,text_chars,status,error
M001,S-M001-01,https://www.town.yamada.iwate.jp/docs/8354.html,200,24216,2745,OK,
M001,S-M001-02,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/3/_/gominodashikataposter6_3.pdf,200,1269371,2662,OK,
M001,S-M001-03,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,200,582361,2095,OK,
M001,S-M001-04,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/6/_/shiteigomibukuroR6_4.pdf,200,561299,336,OK,
M001,S-M001-05,https://www.miyako-kouiki.jp/gyousei/soshiki/kankyo/2/1/751.html,,0,0,ERROR,"ConnectTimeout: HTTPSConnectionPool(host='www.miyako-kouiki.jp', port=443): Max retries exceeded with url: /gyousei/soshiki/kankyo/2/1/751.html (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.miyako-kouiki.jp', port=443) at 0x7f7f7e3ab830>, 'Connection to www.miyako-kouiki.jp timed out. (connect timeout=6)'))"
M002,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,200,80235,17085,OK,
M002,S-M002-02,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/9522.html,200,56993,6643,OK,
M002,S-M002-03,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/1280.html,200,65806,8713,OK,
M002,S-M002-04,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/2/13684.html,200,59801,7636,OK,
M003,S-M003-01,https://www.town.nishiwaga.lg.jp/mokutekibetsudesagasu/gomi/2256.html,200,49452,12390,OK,
M003,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,200,6217122,22831,OK,
M004,S-M004-01,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/17749649372176/,200,45315,2875,OK,
M004,S-M004-02,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2348.html,200,39697,2386,OK,
M004,S-M004-03,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2351.html,200,37548,1977,OK,
M004,S-M004-04,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/2353.html,200,34603,1491,OK,
M005,S-M005-01,https://www.city.ishinomaki.lg.jp/d0010/d0030/d0010/d010/index.html,200,10361,2399,OK,
M005,S-M005-02,https://www.city.ishinomaki.lg.jp/cont/10210000/1582/20180320093709.html,200,15288,5943,OK,
M005,S-M005-03,https://www.city.ishinomaki.lg.jp/cont/10301500/123/20260305162141.html,200,20565,11280,OK,
M005,S-M005-04,https://www.city.ishinomaki.lg.jp/cont/10301000/030/3974/kihonkeikaku2.pdf,200,5405186,129825,OK,
M006,S-M006-01,https://www.town.ogawara.miyagi.jp/1406.htm,200,59907,3212,OK,
M006,S-M006-02,https://www.town.ogawara.miyagi.jp/secure/1106/R8ippannhaikibutusyorizissikeikaku.pdf,200,454721,4157,OK,
M006,S-M006-03,https://www.az9.or.jp/eisei/gomi-bunbetsu.html,200,16289,5680,OK,
M007,S-M007-01,https://www.town.kami.miyagi.jp/soshikikarasagasu/chominka/kankyoeisei/847.html,200,54720,13595,OK,
M007,S-M007-02,https://www.town.kami.miyagi.jp/soshikikarasagasu/chominka/kankyoeisei/4014.html,200,40465,4589,OK,
M007,S-M007-03,https://www.town.kami.miyagi.jp/soshikikarasagasu/chominka/kankyoeisei/3552.html,200,37844,3122,OK,
M008,S-M008-01,https://www.town.shirataka.lg.jp/1204.htm,200,54151,3125,OK,
M008,S-M008-02,https://www.town.shirataka.lg.jp/secure/5260/bunnbetuAll.pdf,200,696138,29986,OK,
M008,S-M008-03,https://www.town.shirataka.lg.jp/1206.htm,200,48701,1672,OK,
M009,S-M009-01,https://www.town.oe.yamagata.jp/news/1275,200,23559,2044,OK,
M009,S-M009-02,https://www.town.oe.yamagata.jp/files/original/202403191138227511fcddfbe.pdf,200,8256366,21021,OK,
M010,S-M010-01,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/index.html,200,34368,6059,OK,
M010,S-M010-02,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/chirashi/1004981.html,200,33627,6502,OK,
M010,S-M010-03,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/1004945.html,200,33847,6176,OK,
M010,S-M010-04,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/1004978.html,200,37199,8222,OK,
M011,S-M011-01,https://www.town.oizumi.gunma.jp/s024/kurashi/010/010/110/20200725200909.html,200,17198,5095,OK,
M011,S-M011-02,https://www.town.oizumi.gunma.jp/s024/kurashi/010/010/110/R8-illust-j.pdf,200,594282,1606,OK,
M011,S-M011-03,https://www.town.oizumi.gunma.jp/s024/kurashi/010/010/100/20200723202152.html,200,89593,60799,OK,
M011,S-M011-04,https://www.town.oizumi.gunma.jp/s024/kurashi/010/010/060/20200719180450.html,200,15132,4691,OK,
M012,S-M012-01,https://www.city.satte.lg.jp/soshiki/kankyou/1/1/13626.html,200,53303,6661,OK,
M012,S-M012-02,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,200,6457639,24499,OK,
M013,S-M013-01,https://www.city.minato.tokyo.jp/documents/6284/20260604115859.pdf,200,9842972,33313,OK,
M013,S-M013-02,https://www.city.minato.tokyo.jp/gomigenryou/kurashi/gomi/kate/k-wakekata/guidebook.html,200,25528,5587,OK,
M013,S-M013-03,https://www.city.minato.tokyo.jp/gomigenryou/kurashi/gomi/kate/s-wakekata/,200,26538,5926,OK,
M013,S-M013-04,https://www.city.minato.tokyo.jp/gomigenryou/kurashi/gomi/kate/k-wakekata/kanen.html,200,29761,7619,OK,
M013,S-M013-05,https://www.city.minato.tokyo.jp/gomigenryou/kurashi/gomi/kate/k-wakekata/funen.html,200,24624,6637,OK,
M013,S-M013-06,https://www.city.minato.tokyo.jp/gomigenryou/kurashi/gomi/kate/k-wakekata/sodaigomi.html,200,31886,10860,OK,
M013,S-M013-07,https://www.city.minato.tokyo.jp/unei/kurashi/gomi/kate/dekinai/,200,26675,6129,OK,
M013,S-M013-08,https://www.city.minato.tokyo.jp/easyjp/life/waste/,200,23187,4972,OK,
M014,S-M014-01,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/wakedashi_pamphlet/japanese.html,200,55089,8671,OK,
M014,S-M014-02,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/wakedashi_pamphlet/japanese.files/wakedashi202603.pdf,200,10445786,0,ERROR,ValueError: extracted text too short
