municipality_id,internal_item_id,coverage_status,mapping_branch_count,branch_completeness_confirmed,evidence_scope,source_id,出典URL,出典ページ・該当箇所,reviewed_date,reviewed_by,notes
M002,I001,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,ペットボトル,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I002,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,その他プラスチック,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I003,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,その他プラスチック,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I004,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,アルミ缶,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I005,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,スチール缶,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I006,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I007,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,白色トレイ,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I008,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,その他プラスチック,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I009,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I010,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I011,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I012,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I013,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,新聞紙,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I014,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,ダンボール類,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I015,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,雑誌類,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I016,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,その他紙,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I017,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,紙パック,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I018,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えるごみ,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I019,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I020,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I021,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I022,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I023,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I024,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I025,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I026,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えないごみ,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I027,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-03,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/1280.html,電池類・蛍光管,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I028,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I029,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-04,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/2/13684.html,小型充電式電池,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I030,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-03,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/1280.html,電池類・蛍光管,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I031,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M002-03,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/1280.html,電池類・蛍光管,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I032,MAPPED_INITIAL,2,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,アルミ缶,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I033,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I034,MAPPED_INITIAL,2,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えないごみ,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I035,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I036,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I037,MAPPED_INITIAL,4,FALSE,CATEGORY_LEVEL,S-M002-01,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,燃えないごみ,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I038,MAPPED_INITIAL,2,FALSE,CATEGORY_LEVEL,S-M002-02,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/9522.html,粗大ごみ,,,機械抽出。品目別調査と条件枝レビューは未完了。
M002,I039,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M002,I040,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M003,I001,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,PET,,,機械抽出。品目別調査と条件枝レビューは未完了。
M003,I002,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,プラスチック容器包装,,,機械抽出。品目別調査と条件枝レビューは未完了。
M003,I003,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,プラスチック容器包装,,,機械抽出。品目別調査と条件枝レビューは未完了。
M003,I004,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M003,I005,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M003,I006,MAPPED_INITIAL,1,FALSE,CATEGORY_LEVEL,S-M003-02,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,びん,,,機械抽出。品目別調査と条件枝レビューは未完了。
M003,I007,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
M003,I008,NOT_RESEARCHED,0,FALSE,NONE,,,,,,未調査。不存在を意味しない。
