municipality_id,都道府県,市町村,実装区分,ごみ処理主体,自治体ごみトップURL,分別ガイドURL,品目検索URL,やさしい日本語URL,多言語資料URL,対象年度,最終確認日,確認ステータス,備考,official_category_count,category_count_basis,category_count_verified
M002,岩手県,奥州市,個別指定,奥州市／奥州金ケ崎行政事務組合,https://www.city.oshu.iwate.jp/kurashi_tetsuzuki/gomi_recycle/2/index.html,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,https://www.city.oshu.iwate.jp/soshiki/5/1051/2/3/316.html,令和8年度,2026-08-17,QA_PASSED,英語・中国語ポスターと5言語カレンダー、サイトのやさしい日本語機能を確認,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M003,岩手県,西和賀町,個別指定,西和賀町／岩手中部広域行政組合,https://www.town.nishiwaga.lg.jp/mokutekibetsudesagasu/gomi/2256.html,https://www.town.nishiwaga.lg.jp/material/files/group/5/0604gomihyakka.pdf,,,,令和8年度（ごみ百科は令和6年4月改定）,2026-08-17,QA_PASSED,燃えるごみは構成4市町で統一ルール。現行ページが令和6年版ごみ百科を案内,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M004,岩手県,紫波町,個別指定,紫波町／盛岡・紫波地区環境施設組合,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/17749649372176/,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/17749649372176/,,,https://www.town.shiwa.iwate.jp/kurashi/gomi/1_bunebetsu/17749649372176/,令和8年度,2026-08-17,QA_PASSED,公式サイトの翻訳機能を多言語導線として記録,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M005,宮城県,石巻市,個別指定,石巻市／石巻地区広域行政事務組合,https://www.city.ishinomaki.lg.jp/d0010/d0030/d0010/d010/index.html,https://www.city.ishinomaki.lg.jp/cont/10210000/1582/20180320093709.html,https://www.city.ishinomaki.lg.jp/d0010/d0030/d0010/d010/index.html,,,令和8年度,2026-08-17,QA_PASSED,2026年10月開始予定のプラスチック分別は将来適用として別行・注記化,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M006,宮城県,大河原町,個別指定,大河原町／仙南地域広域行政事務組合,https://www.town.ogawara.miyagi.jp/1406.htm,https://www.az9.or.jp/eisei/gomi-bunbetsu.html,https://www.az9.or.jp/eisei/gomi-bunbetsu.html,,,令和8年度,2026-08-17,QA_PASSED,町の実施計画と仙南地域広域行政事務組合の令和8年2月改訂分別一覧を併用,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M007,宮城県,加美町,個別指定,加美町／大崎地域広域行政事務組合,https://www.town.kami.miyagi.jp/soshikikarasagasu/chominka/kankyoeisei/847.html,https://www.town.kami.miyagi.jp/soshikikarasagasu/chominka/kankyoeisei/847.html,https://www.town.kami.miyagi.jp/soshikikarasagasu/chominka/kankyoeisei/847.html,,,令和8年度,2026-08-17,QA_PASSED,町ページの区分表と大崎広域50音冊子への公式導線を確認,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M008,山形県,白鷹町,個別指定,白鷹町／置賜広域行政事務組合,https://www.town.shirataka.lg.jp/1204.htm,https://www.town.shirataka.lg.jp/secure/5260/bunnbetuAll.pdf,https://www.town.shirataka.lg.jp/secure/5260/bunnbetuAll.pdf,,,令和8年度,2026-08-17,QA_PASSED,30ページの分別一覧と戸別粗大ごみ案内を照合,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M009,山形県,大江町,個別指定,大江町／西村山広域行政事務組合,https://www.town.oe.yamagata.jp/news/1275,https://www.town.oe.yamagata.jp/files/original/202403191138227511fcddfbe.pdf,https://www.town.oe.yamagata.jp/files/original/202403191138227511fcddfbe.pdf,,,令和8年度（ガイドは令和6年4月1日適用）,2026-08-17,QA_PASSED,2026年度ページが令和6年4月適用ガイドを現行資料として案内,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
M010,栃木県,宇都宮市,個別指定,宇都宮市,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/index.html,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/chirashi/1004981.html,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/1004945.html,,https://www.city.utsunomiya.lg.jp/kurashi/gomi/kateigomi/dashikata/chirashi/1004981.html,現行（5種14分別）,2026-08-17,QA_PASSED,公式5種14分別と多言語版冊子導線を確認,14,公式ページが『5種14分別』と明示。EXCLUDED_NOTICEは件数外。,TRUE
M011,群馬県,大泉町,個別指定,大泉町／太田市外三町広域清掃組合／大泉町外二町環境衛生施設組合,https://www.town.oizumi.gunma.jp/li/kurashi/040/010/,https://www.town.oizumi.gunma.jp/s024/kurashi/010/010/110/20200725200909.html,https://www.town.oizumi.gunma.jp/s024/kurashi/010/010/100/20200723202152.html,,https://www.town.oizumi.gunma.jp/s024/kurashi/010/010/110/20200725200909.html,令和8年度,2026-08-17,QA_PASSED,令和8年度日本語図解と英語・ポルトガル語導線を確認,,公式分別ガイド・区分見出しを全件転記し、親区分のみで下位区分を落としていないことを再確認。,TRUE
