municipality_id,確認日,ごみトップ,現行ルール,全分別区分,正式名称,代表品目,前処理,袋容器,粗大ごみ,危険有害,収集しない物,検索サービス,やさしい日本語,多言語,公式出典,参照整合性,確認ステータス,備考
M002,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,QA_PASSED,全20区分、粗大・電池・拠点回収・多言語を確認
M003,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,QA_PASSED,町と広域組合の燃えるごみ処理主体を分離
M004,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,QA_PASSED,生ごみは地域条件付きで独立区分
M005,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,QA_PASSED,2026年10月のプラスチック新設を施行予定として分離
M006,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,QA_PASSED,町実施計画と仙南広域の分別辞典を照合
M007,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,QA_PASSED,2024年以降のプラスチック統合条件を確認
M008,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,QA_PASSED,30ページ分別一覧と戸別粗大ごみを照合
M009,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,QA_PASSED,令和6年適用ガイドが2026年度現行ページに掲載
M010,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,QA_PASSED,公式5種14分別と収集外を別管理
M011,2026-08-17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,QA_PASSED,令和8年度図解と英語・ポルトガル語導線を確認
