municipality_id,都道府県,市町村,実装区分,ごみ処理主体,自治体ごみトップURL,分別ガイドURL,品目検索URL,やさしい日本語URL,多言語資料URL,対象年度,最終確認日,確認ステータス,備考,official_category_count,reviewed_category_count,category_count_basis,category_count_verified,category_count_check_status,category_count_review_id,category_count_reviewed_date,category_count_reviewed_by,search_service_check_status,search_service_check_evidence,easy_japanese_check_status,easy_japanese_check_evidence,multilingual_check_status,multilingual_check_evidence
M012,埼玉県,幸手市,個別指定,幸手市,https://www.city.satte.lg.jp/soshiki/kankyou/1/1/13626.html,https://www.city.satte.lg.jp/material/files/group/14/setumei.pdf,https://www.city.satte.lg.jp/soshiki/kankyou/1/1/13626.html,,,令和8年度,2026-08-18,QA_PASSED,令和8年度ごみ収集カレンダー共通説明と分別早見表を照合,,16,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M012-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.satte.lg.jp/soshiki/kankyou/1/1/13626.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.satte.lg.jp/soshiki/kankyou/1/1/13626.html; no dedicated resource found; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.satte.lg.jp/soshiki/kankyou/1/1/13626.html; no dedicated resource found; checked:2026-08-18
M014,東京都,墨田区,個別指定,墨田区,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/kateikei/gomi_dashikata/index.html,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/wakedashi_pamphlet/japanese.html,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/kateikei/gomi-50onbunbetu.html,,https://www.city.sumida.lg.jp/kurashi/gomi_recycle/wakedashi_pamphlet/index.html,令和8年度,2026-08-18,QA_PASSED,2026年3月版ガイドの分別フローと50音検索を照合,,10,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M014-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.sumida.lg.jp/kurashi/gomi_recycle/kateikei/gomi-50onbunbetu.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.sumida.lg.jp/kurashi/gomi_recycle/kateikei/gomi_dashikata/index.html; no dedicated resource found; checked:2026-08-18,CHECKED_PRESENT,URL:https://www.city.sumida.lg.jp/kurashi/gomi_recycle/wakedashi_pamphlet/index.html; checked:2026-08-18
M015,東京都,中央区,個別指定,中央区,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/index.html,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/wakekata/panhuretto.html,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/50onjyun230401.html,,https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/wakekata/panhuretto.html,令和8年1月改訂,2026-08-18,QA_PASSED,資源は教材用親1箱と公式内訳の子区分を分離,,14,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M015-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/50onjyun230401.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/index.html; no dedicated resource found; checked:2026-08-18,CHECKED_PRESENT,URL:https://www.city.chuo.lg.jp/a0039/kurashi/gomi/bunbetsu/wakekata/panhuretto.html; checked:2026-08-18
M016,神奈川県,三浦市,個別指定,三浦市,https://www.city.miura.kanagawa.jp/soshiki/haikibutsutaisakuka/gomi_katei/3007.html,https://www.city.miura.kanagawa.jp/soshiki/haikibutsutaisakuka/gomi_katei/3007.html,https://www.city.miura.kanagawa.jp/soshiki/haikibutsutaisakuka/gomi_katei/3007.html,,,令和8年度,2026-08-18,QA_PASSED,公式ページが案内する分割版ガイド全6冊の目次・見出しを照合,,17,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M016-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.miura.kanagawa.jp/soshiki/haikibutsutaisakuka/gomi_katei/3007.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.miura.kanagawa.jp/soshiki/haikibutsutaisakuka/gomi_katei/3007.html; no dedicated resource found; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.miura.kanagawa.jp/soshiki/haikibutsutaisakuka/gomi_katei/3007.html; no dedicated resource found; checked:2026-08-18
M017,新潟県,新潟市,個別指定,新潟市,https://www.city.niigata.lg.jp/kurashi/gomi/gomishigen/gomidasi/niigata/index.html,https://www.city.niigata.lg.jp/kurashi/gomi/gomishigen/gomidasi/niigata/index.html,https://www.city.niigata.lg.jp/kurashi/gomi/gomishigen/gomidasi/niigata/index.html,,,令和8年度,2026-08-18,QA_PASSED,全市共通の有料3区分・資源区分と令和8年度カレンダーを照合,,13,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M017-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.niigata.lg.jp/kurashi/gomi/gomishigen/gomidasi/niigata/index.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.niigata.lg.jp/kurashi/gomi/gomishigen/gomidasi/niigata/index.html; no dedicated resource found; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.niigata.lg.jp/kurashi/gomi/gomishigen/gomidasi/niigata/index.html; no dedicated resource found; checked:2026-08-18
M018,岐阜県,瑞穂市,個別指定,瑞穂市,https://www.city.mizuho.lg.jp/1750.htm,https://www.city.mizuho.lg.jp/1750.htm,https://www.city.mizuho.lg.jp/1750.htm,,https://www.city.mizuho.lg.jp/1750.htm,令和8年度,2026-08-18,QA_PASSED,公式索引ページの区分別PDF見出しと多言語ごみアプリ案内を照合,,11,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M018-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.mizuho.lg.jp/1750.htm; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.mizuho.lg.jp/1750.htm; no dedicated resource found; checked:2026-08-18,CHECKED_PRESENT,URL:https://www.city.mizuho.lg.jp/1750.htm; checked:2026-08-18
M019,岐阜県,山県市,個別指定,山県市,https://www.city.yamagata.gifu.jp/soshiki/shimin/1835.html,https://www.city.yamagata.gifu.jp/uploaded/attachment/19770.pdf,https://www.city.yamagata.gifu.jp/soshiki/shimin/1835.html,,,令和8年度,2026-08-18,QA_PASSED,令和8年度一般廃棄物処理実施計画の収集・資源化区分表を照合,,18,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M019-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.yamagata.gifu.jp/soshiki/shimin/1835.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.yamagata.gifu.jp/soshiki/shimin/1835.html; no dedicated resource found; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.yamagata.gifu.jp/soshiki/shimin/1835.html; no dedicated resource found; checked:2026-08-18
M020,静岡県,静岡市,個別指定,静岡市,https://www.city.shizuoka.lg.jp/gomi/s000668.html,https://www.city.shizuoka.lg.jp/gomi/s000668.html,https://www.city.shizuoka.lg.jp/gomi/s009159.html,,https://www.city.shizuoka.lg.jp/gomi/s000668.html,令和8年度,2026-08-18,QA_PASSED,葵・駿河区版と清水区版を併用し、区別差は適用条件に保持,,15,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M020-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.shizuoka.lg.jp/gomi/s009159.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.shizuoka.lg.jp/gomi/s000668.html; no dedicated resource found; checked:2026-08-18,CHECKED_PRESENT,URL:https://www.city.shizuoka.lg.jp/gomi/s000668.html; checked:2026-08-18
M021,三重県,津市,個別指定,津市,https://www.info.city.tsu.mie.jp/kurashi/gomi_kankyo/index.html,https://www.info.city.tsu.mie.jp/kurashi/gomi_kankyo/1001596/1001597/1001598.html,https://www.info.city.tsu.mie.jp/_res/projects/default_project/_page_/001/001/598/bessatu20240606.pdf,,https://www.info.city.tsu.mie.jp/kurashi/gomi_kankyo/1001596/1001597/1001598.html,令和8年4月版,2026-08-18,QA_PASSED,令和8年4月版ガイドの分別区分一覧と多言語版を照合,,12,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M021-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.info.city.tsu.mie.jp/_res/projects/default_project/_page_/001/001/598/bessatu20240606.pdf; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.info.city.tsu.mie.jp/kurashi/gomi_kankyo/index.html; no dedicated resource found; checked:2026-08-18,CHECKED_PRESENT,URL:https://www.info.city.tsu.mie.jp/kurashi/gomi_kankyo/1001596/1001597/1001598.html; checked:2026-08-18
M022,大阪府,四條畷市,個別指定,四條畷市／四條畷市交野市清掃施設組合,https://www.city.shijonawate.lg.jp/life/1/11/61/,https://www.city.shijonawate.lg.jp/page/16-60240.html,https://www.city.shijonawate.lg.jp/page/16-60240.html,,,令和8年度,2026-08-18,QA_PASSED,2026年版ガイドの定期収集・拠点回収・粗大不燃・収集外を照合,,12,公式ガイドの分別見出し・索引と補足資料を全件照合し、CURRENTかつ非EXCLUDEDの公式葉区分を記録。教材投影用の親は件数外。,TRUE,MANUAL_INDEX_REVIEW,CR-M022-CATEGORY-COVERAGE,2026-08-18,OPENAI_WORK_MANUAL_INDEX_REVIEW,CHECKED_PRESENT,URL:https://www.city.shijonawate.lg.jp/page/16-60240.html; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.shijonawate.lg.jp/life/1/11/61/; no dedicated resource found; checked:2026-08-18,CHECKED_ABSENT,official index searched:https://www.city.shijonawate.lg.jp/life/1/11/61/; no dedicated resource found; checked:2026-08-18
