mapping_id,municipality_id,internal_item_id,branch_order,自治体での品目表記,category_id,分別区分正式名称,条件,前処理,例外分別先,自治体収集外,rule_status,effective_from,effective_to,category_source_id,category_source_url,category_source_locator,item_evidence_source_id,item_evidence_url,item_evidence_locator,確認日,mapping_status,evidence_scope,branch_review_status,reviewed_date,reviewed_by,備考
MAP-M106-I001-C-M106-06,M106,I001,1,category正式名称・代表品目から機械抽出,C-M106-06,ペットボトル,要品目別確認,中を水洗いし、キャップ・ラベルを外してプラスチック製容器包装へ,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,ペットボトル,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I006-C-M106-09,M106,I006,1,category正式名称・代表品目から機械抽出,C-M106-09,びん類,要品目別確認,中を洗い、ふた・キャップを外す。重さ10kg以下,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,びん類,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I017-C-M106-04,M106,I017,1,category正式名称・代表品目から機械抽出,C-M106-04,紙パック,要品目別確認,中を洗い、開いて乾かす。内側アルミ箔は燃えるごみ,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,紙パック,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I018-C-M106-01,M106,I018,1,category正式名称・代表品目から機械抽出,C-M106-01,燃えるごみ,要品目別確認,生ごみは水切り。ロープ・木の枝等は50cm以下。液体は吸わせるか固形化。重さ10kg以下,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,燃えるごみ,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I021-C-M106-01,M106,I021,1,category正式名称・代表品目から機械抽出,C-M106-01,燃えるごみ,要品目別確認,生ごみは水切り。ロープ・木の枝等は50cm以下。液体は吸わせるか固形化。重さ10kg以下,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,燃えるごみ,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I027-C-M106-12,M106,I027,1,category正式名称・代表品目から機械抽出,C-M106-12,有害ごみ,要品目別確認,蛍光管は壊さず10本以内にくくり指定袋を付ける。乾電池は指定袋に入れ口を固くしばる,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,有害ごみ,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I028-C-M106-12,M106,I028,1,category正式名称・代表品目から機械抽出,C-M106-12,有害ごみ,要品目別確認,蛍光管は壊さず10本以内にくくり指定袋を付ける。乾電池は指定袋に入れ口を固くしばる,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,有害ごみ,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I029-C-M106-14,M106,I029,1,category正式名称・代表品目から機械抽出,C-M106-14,販売店やリサイクル業者に引き取ってもらう,家庭から廃棄する対象電池,購入した販売店等へ引取を依頼する,市の通常収集区分へ出さない,TRUE,CURRENT,,,S-M106-02,https://www.akitakata.jp/ja/shisei/section/119/m148-copy-5/,3.廃棄方法,,,,2026-08-27,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I030-C-M106-12,M106,I030,1,category正式名称・代表品目から機械抽出,C-M106-12,有害ごみ,要品目別確認,蛍光管は壊さず10本以内にくくり指定袋を付ける。乾電池は指定袋に入れ口を固くしばる,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,有害ごみ,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
MAP-M106-I031-C-M106-12,M106,I031,1,category正式名称・代表品目から機械抽出,C-M106-12,有害ごみ,要品目別確認,蛍光管は壊さず10本以内にくくり指定袋を付ける。乾電池は指定袋に入れ口を固くしばる,NOT_STATED_IN_CITED_SOURCE,FALSE,CURRENT,,,S-M106-01,https://www.akitakata.jp/ja/shisei/section/siminseikatu/gomi22/,有害ごみ,,,,2026-08-19,INITIAL_REVIEW_REQUIRED,CATEGORY_LEVEL,UNREVIEWED,,,Positive evidence（category正式名称・代表品目）から機械抽出。品目別公式根拠と条件枝の確認前はAPP_READYにしない。
