municipality_id,確認日,ごみトップ,現行ルール,全分別区分,正式名称,代表品目,前処理,袋容器,危険有害,収集しない物,公式出典,参照整合性,Schema検証,category_count_verified,rule_status検証,ui_role検証,検索サービス確認済み,検索サービス存在,やさしい日本語確認済み,やさしい日本語存在,多言語確認済み,多言語存在,粗大ごみ,確認ステータス,備考
M106,2026-08-27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M107,2026-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M108,2026-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M109,2026-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M110,2026-08-28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M111,2026-08-28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M112,2026-08-28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M113,2026-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M114,2026-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,QA_PASSED,Schema v1.2.4で機械再計算
M115,2026-08-19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,NOT_APPLICABLE,QA_PASSED,Schema v1.2.4で機械再計算
