municipality_id,category_id,自治体正式名称,category_group,parent_category_id,classification_level,表示順,collection_channel,代表品目,入れてはいけない物,適用条件,条件外の扱い,出す前の処理,袋・容器のルール,サイズ・条件,粗大ごみ扱いか,予約が必要か,有料か,料金ルール,自治体収集外か,注意事項,source_id,出典URL,出典ページ・該当箇所,確認日,ui_role,rule_status,effective_from,effective_to
M116,C-M116-01,燃やしてよいごみ,燃やしてよいごみ,,PRIMARY,1,CURBSIDE,生ごみ・紙くず・木くず・布類等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,生ごみは水切りする,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,燃やしてよいごみ,2026-08-19,SORT_BUCKET,CURRENT,,
M116,C-M116-02,空きカン,空きカン,,PRIMARY,2,CURBSIDE,スチール缶・アルミ缶・その他の缶,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,NOT_STATED_IN_CITED_SOURCE,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,空きカン,2026-08-19,SORT_BUCKET,CURRENT,,
M116,C-M116-03,スチール缶,空きカン,C-M116-02,SUBCATEGORY,3,CURBSIDE,飲食用スチール缶,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,中を洗う,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,スチール缶,2026-08-19,REFERENCE_ONLY,CURRENT,,
M116,C-M116-04,アルミ缶,空きカン,C-M116-02,SUBCATEGORY,4,CURBSIDE,飲食用アルミ缶,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,中を洗う,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,アルミ缶,2026-08-19,REFERENCE_ONLY,CURRENT,,
M116,C-M116-05,その他の缶,空きカン,C-M116-02,SUBCATEGORY,5,CURBSIDE,スプレー缶・カセットボンベ等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,中身を使い切る。つぶさない,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,その他の缶,2026-08-19,REFERENCE_ONLY,CURRENT,,
M116,C-M116-06,空きビン,空きビン,,PRIMARY,6,CURBSIDE,無色ビン・茶色ビン・その他のビン,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,NOT_STATED_IN_CITED_SOURCE,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,空きビン,2026-08-19,SORT_BUCKET,CURRENT,,
M116,C-M116-07,無色ビン,空きビン,C-M116-06,SUBCATEGORY,7,CURBSIDE,無色の飲食用びん等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,ふたを外し、中を洗う,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,無色ビン,2026-08-19,REFERENCE_ONLY,CURRENT,,
M116,C-M116-08,茶色ビン,空きビン,C-M116-06,SUBCATEGORY,8,CURBSIDE,茶色の飲食用びん等,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,ふたを外し、中を洗う,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,茶色ビン,2026-08-19,REFERENCE_ONLY,CURRENT,,
M116,C-M116-09,その他のビン,空きビン,C-M116-06,SUBCATEGORY,9,CURBSIDE,無色・茶色以外のびん,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,ふたを外し、中を洗う,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,その他のビン,2026-08-19,REFERENCE_ONLY,CURRENT,,
M116,C-M116-10,ペットボトル,容器や包装のプラスチック,,PRIMARY,10,CURBSIDE,PETマークの飲料等ボトル,NOT_STATED_IN_CITED_SOURCE,,NOT_STATED_IN_CITED_SOURCE,キャップ・ラベルを外し、中を洗う,,,FALSE,FALSE,FALSE,,FALSE,,S-M116-01,https://www.jinsekigun.jp/town/formation/kankyoueisei/03/gomi/,ペットボトル,2026-08-19,SORT_BUCKET,CURRENT,,
