municipality_id,internal_item_id,branch_order,canonical_name,display_name,official_item_wording,category_id,category_name,condition,preparation,exception_destination,evidence_basis,item_evidence_source_id,item_evidence_url,item_evidence_locator,branch_review_status,checked_date,reviewer,note,scoring_branch,exception_evidence_source_id,exception_evidence_url,exception_evidence_locator
M056,I001,1,ペットボトル,ペットボトル,表示があるペットボトル,C-M056-03,ペットボトル,PET表示がある通常の飲料・調味料用ペットボトル本体,キャップとラベルを外して汚れをすすぐ,表示がないものや汚れが残るものは燃やせるごみ,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／ペットボトル・キャップやラベルは外してプラスチック類へ,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,固定画像は通常のPETボトル本体。,TRUE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,表示なし・汚れありは燃やせるごみ
M056,I001,2,ペットボトル,ペットボトル,PET表示がない又は汚れが残るボトル,C-M056-01,燃やせるごみ,PET表示がないもの又は汚れが落ちず資源回収できないもの,燃やせるごみとして出す,通常のPET表示ボトルはペットボトル,OFFICIAL_RULE_DERIVED,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／ペットボトル注意事項「表示がないもの→燃やせるごみ」「汚れがあるものは収集できません」,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,条件差を内部枝として保持。,FALSE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,通常のPET表示ボトルの資源区分
M056,I004,1,アルミ缶,アルミ缶,飲用缶,C-M056-04,空き缶,家庭から出る通常の飲用アルミ缶,汚れをすすいで落として空き缶に出す,飲用以外の缶や汚れの取れない缶は不燃ごみ,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／空き缶「飲用缶」,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,固定画像は飲用アルミ缶。,TRUE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,飲用缶以外・汚れの取れないものは不燃ごみ
M056,I004,2,アルミ缶,アルミ缶,飲用以外の缶・汚れの取れない缶,C-M056-06,不燃ごみ,飲用以外の缶又は汚れの取れない缶,中身を空にして不燃ごみとして出す,通常の飲用缶は空き缶,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／空き缶注意事項,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,条件差を内部枝として保持。,FALSE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,通常の飲用缶は空き缶
M056,I006,1,ガラスびん,びん,飲食物・化粧品・家庭常備薬のびん,C-M056-05,空きびん,汚れを落とせる通常の飲食物・化粧品・家庭常備薬のびん,ふたをできるだけ外して汚れをすすぐ,汚れの取れないびん・ガラス製品・耐熱ガラス・乳白色びん等は不燃ごみ,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／空きびん,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,固定画像は通常の飲食用びん。,TRUE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,汚れの取れないもの・ガラス製品等は不燃ごみ
M056,I006,2,ガラスびん,びん,汚れの取れないびん・対象外ガラス,C-M056-06,不燃ごみ,汚れの取れないびん又は窓ガラス・耐熱ガラス・乳白色びん等,破損に注意して不燃ごみとして出す,通常の対象びんは空きびん,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／空きびん条件外の扱い,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,条件差を内部枝として保持。,FALSE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,通常対象びんの資源区分
M056,I007,1,白色食品トレー,白いトレー,食品トレー,C-M056-02,プラ容器包装,プラ容器包装表示があり食べ物汚れを落とした通常の食品トレー,汚れをすすいで落としてプラ容器包装へ出す,表示がないもの又は汚れが残るものは燃やせるごみ,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／プラ容器包装の例「食品トレー」,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,固定画像はきれいな白色食品トレー。,TRUE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,表示なし・汚れありは燃やせるごみ
M056,I007,2,白色食品トレー,白いトレー,表示がない又は汚れが残る食品トレー,C-M056-01,燃やせるごみ,プラ容器包装表示がないもの又は食べ物汚れが残るもの,燃やせるごみとして出す,表示があり汚れを落とした食品トレーはプラ容器包装,OFFICIAL_RULE_DERIVED,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／プラ容器包装注意事項,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,条件差を内部枝として保持。,FALSE,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,食品トレーの資源区分
M056,I013,1,新聞,新聞,新聞,C-M056-08,古紙類,家庭から出る通常の新聞,古紙回収日程に従い指定場所へ持ち出す,通常収集袋には入れない,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／古紙類「新聞」・古紙回収に持ち出してください,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,通常BOXではなく「古紙回収」行動へ投影。,TRUE,S-M056-05,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1773391288583.html,令和8年度古紙回収日程
M056,I014,1,段ボール,段ボール,段ボール,C-M056-08,古紙類,家庭から出る通常の段ボール,古紙回収日程に従い指定場所へ持ち出す,通常収集袋には入れない,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／古紙類「段ボール」・古紙回収に持ち出してください,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,通常BOXではなく「古紙回収」行動へ投影。,TRUE,S-M056-05,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1773391288583.html,令和8年度古紙回収日程
M056,I017,1,紙パック,牛乳パック,牛乳パック,C-M056-08,古紙類,家庭から出る通常の牛乳パック,古紙回収日程に従い指定場所へ持ち出す,通常収集袋には入れない,DIRECT_ITEM,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／古紙類「牛乳パック」・古紙回収に持ち出してください,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,通常BOXではなく「古紙回収」行動へ投影。,TRUE,S-M056-05,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1773391288583.html,令和8年度古紙回収日程
M056,I029,1,モバイルバッテリー,モバイルバッテリー,充電式電池・リチウムイオン電池,C-M056-07,有害ごみ,本体から独立した家庭用モバイルバッテリー・リチウムイオン電池,乾電池類として回収日に出す。膨張している場合は電極をテープ等で絶縁,家電製品と一体で取り外せない場合は家電製品として不燃ごみ,DIRECT_ITEM,S-M056-04,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1765772698153.html,リチウムイオン電池は乾電池類として回収日に廃棄,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,固定画像は独立したモバイルバッテリー。,TRUE,S-M056-04,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1765772698153.html,本体一体型で取り外せない場合は不燃ごみ
M056,I029,2,モバイルバッテリー,モバイルバッテリー,バッテリーを取り外せない一体型家電,C-M056-06,不燃ごみ,リチウムイオン電池が家電製品本体と一体で取り外せないもの,家電製品として不燃ごみに出す,取り外せる電池は外して乾電池類として有害ごみ,DIRECT_ITEM,S-M056-04,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1765772698153.html,本体と一体型で取り外せない場合は家電製品として不燃ごみ,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,製品形態差を内部枝として保持。,FALSE,S-M056-04,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1765772698153.html,取り外せる場合は電池を外して乾電池類
M056,I031,1,電球,電球,一般電球・LED電球,C-M056-06,不燃ごみ,固定画像のような蛍光灯ではない一般電球・LED電球,割れないよう注意して不燃ごみとして出す,割れていない蛍光灯は有害ごみ,OFFICIAL_RULE_DERIVED,S-M056-01,https://www.town.okuizumo.shimane.jp/www/contents/1773388412727/files/r8gomibunbetsu.pdf,2026年4月版／不燃ごみ「ガラス・小型家電」・有害ごみ対象は割れていない蛍光灯,COMPLETE,2026-09-14,OPENAI_GPT56_M056_LESSON_READY_15_V1,町公式分別辞典保存版でもLED電球は不燃ごみ。固定画像は蛍光灯ではない。,TRUE,S-M056-06,https://www.town.okuizumo.shimane.jp/www/contents/1610005288925/files/gomibunbetujitenR302.pdf,品目「LED電球」＝不燃ごみ（金属・陶器・ガラス・小型家電）
