municipality_id,internal_item_id,branch_order,canonical_name,display_name,official_item_wording,category_id,category_name,condition,preparation,exception_destination,evidence_basis,item_evidence_source_id,item_evidence_url,item_evidence_locator,branch_review_status,checked_date,reviewer,note,scoring_branch,exception_evidence_source_id,exception_evidence_url,exception_evidence_locator
M068,I002,1,ペットボトルのキャップ,キャップ,ペットボトルのキャップ,C-M068-01,燃やせるごみ,真備地区以外の通常のプラスチック製PETキャップ,ペットボトル本体から外して燃やせるごみへ,金属製キャップは資源ごみ,DIRECT_ITEM,S-M068-04,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003662.html,50音順「キャップ」プラスチック製は燃やせるごみ,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。真備地区では燃えるごみ。,FALSE,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区PETはキャップを外す／燃えるごみはプラスチック製品
M068,I002,2,ペットボトルのキャップ,キャップ,ペットボトルのキャップ,C-M068-07,燃えるごみ,真備地区の通常のプラスチック製PETキャップ,ペットボトル本体から外して燃えるごみへ,金属製キャップは地域公式案内を確認,OFFICIAL_RULE_DERIVED,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区PETはキャップを外す＋燃えるごみ対象にプラスチック製品,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。地域正式名を保持。,FALSE,S-M068-04,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003662.html,キャップの材質別公式ルール
M068,I003,1,ペットボトルのラベル,ラベル,ペットボトルのラベル,C-M068-01,燃やせるごみ,真備地区以外の通常のPETラベル,ペットボトル本体から外して燃やせるごみへ,本体は資源ごみ,OFFICIAL_RULE_DERIVED,S-M068-06,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1013715/1003713.html,PET出し方「キャップとラベルをはずす」＋燃やせるごみのプラスチック類一般則,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。ラベル個別分類は一般則から導出。,FALSE,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区PETはラベルを外す／燃えるごみはプラスチック製品
M068,I003,2,ペットボトルのラベル,ラベル,ペットボトルのラベル,C-M068-07,燃えるごみ,真備地区の通常のPETラベル,ペットボトル本体から外して燃えるごみへ,本体は資源ごみ,OFFICIAL_RULE_DERIVED,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区PETはラベルを外す＋燃えるごみ対象にプラスチック製品,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。地域正式名を保持。,FALSE,S-M068-06,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1013715/1003713.html,PETラベルを外す公式手順
M068,I027,1,乾電池,乾電池,使用済み乾電池,C-M068-04,使用済み乾電池,真備地区以外の家庭用乾電池,ごみステーション備付けの専用容器へ出す,ボタン電池等は形式・地域に応じ公式案内を確認,DIRECT_ITEM,S-M068-03,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003648.html,「使用済み乾電池」専用の入れ物へ,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。真備地区は体温計・乾電池。,FALSE,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区「体温計 乾電池」
M068,I027,2,乾電池,乾電池,乾電池,C-M068-09,体温計・乾電池,真備地区の家庭用乾電池,ごみステーション内の所定収集箱へ出す,ボタン電池・角型電池は絶縁テープを貼る,DIRECT_ITEM,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区「体温計 乾電池」対象・排出方法,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。地域正式名を保持。,FALSE,S-M068-03,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003648.html,真備地区以外「使用済み乾電池」
M068,I018,1,生ごみ,生ごみ,生ごみ,C-M068-01,燃やせるごみ,真備地区以外の家庭から出る通常の生ごみ,水分を切り燃やせるごみとして出す,資源化・減量化は別扱い,DIRECT_ITEM,S-M068-03,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003648.html,「燃やせるごみ」例：生ごみ,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。真備地区は燃えるごみ。,FALSE,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区「燃えるごみ」対象：生ごみ
M068,I018,2,生ごみ,生ごみ,生ごみ,C-M068-07,燃えるごみ,真備地区の家庭から出る通常の生ごみ,水分を切り燃えるごみとして出す,資源化・減量化は別扱い,DIRECT_ITEM,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区「燃えるごみ」対象：生ごみ,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。地域正式名を保持。,FALSE,S-M068-03,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003648.html,真備地区以外「燃やせるごみ」生ごみ
M068,I010,1,お菓子の袋,お菓子の袋,プラスチック・ビニール製の菓子袋,C-M068-01,燃やせるごみ,真備地区以外の中身を除いた通常のお菓子の袋,中身を除いて燃やせるごみとして出す,紙製菓子箱は雑がみとして資源ごみ,OFFICIAL_RULE_DERIVED,S-M068-03,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003648.html,「燃やせるごみ」プラスチック類・ポリ・ビニール容器,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。固定画像はプラスチック系菓子袋。,FALSE,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区「燃えるごみ」プラスチック・ビニール製品
M068,I010,2,お菓子の袋,お菓子の袋,プラスチック・ビニール製の菓子袋,C-M068-07,燃えるごみ,真備地区の中身を除いた通常のお菓子の袋,中身を除いて燃えるごみとして出す,紙製菓子箱は雑がみとして資源ごみ,OFFICIAL_RULE_DERIVED,S-M068-07,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003664/1003665.html,真備地区「燃えるごみ」プラスチック・ビニール製品,COMPLETE,2026-09-15,OPENAI_GPT56_M068_LESSON_READY_15_V1,補助5review。固定画像はプラスチック系菓子袋。,FALSE,S-M068-03,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1003647/1003648.html,真備地区以外「燃やせるごみ」プラスチック類
