municipality_id,source_id,資料名,資料種別,公式URL,発行主体,対象年度,ページ更新日,取得確認日,使用した情報,優先度,現行性,備考,official_verified,official_basis,official_linking_url
M094,S-M094-01,家庭ごみの正しい出し方,自治体公式Webページ,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026095/1026096/1003182.html,広島市,令和8年度,2026-04-02,2026-08-18,全区分・前処理・袋条件・大型ごみ・収集外・多言語,1,現行,令和8年4月変更反映,TRUE,MUNICIPAL_DOMAIN,
M094,S-M094-02,令和8年度版「家庭ごみの正しい出し方」,自治体公式PDF,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,広島市,令和8年度,,2026-08-17,不燃ごみ・有害ごみ・大型ごみ補足,2,現行,公式ページからリンク,TRUE,MUNICIPAL_DOMAIN,
M094,S-M094-03,家庭ごみ分別50音事典,公式分別辞典,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026094/1003180.html,広島市,現行,,2026-08-17,品目検索導線・分別区分,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M102,S-M102-01,ごみの分別,自治体公式Webページ,https://www.city.shobara.hiroshima.jp/main/life/waste/post_502.html,庄原市,現行,,2026-08-17,13種類・主な前処理・検索・やさしい日本語,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M102,S-M102-02,ごみの分け方ガイド,自治体公式PDF,https://www.city.shobara.hiroshima.jp/main/2026/05/b6dc044e36ef6e5fe182c3d6e19651b8.pdf,庄原市,2022年度発行,2026-05,2026-08-17,13区分・指定袋・粗大ごみ・詳細例,2,現行案内中,古い発行年だが2026年の公式ページが現行ガイドとして掲載,TRUE,MUNICIPAL_DOMAIN,
M102,S-M102-03,家庭ごみの正しい出し方ポスター,自治体公式PDF,https://www.city.shobara.hiroshima.jp/main/2026/05/f425cb7cb962951470a777e677d0cd81.pdf,庄原市,現行,2026-05,2026-08-17,前処理・袋条件・収集外,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M102,S-M102-04,ごみサク 庄原市,公式ごみ検索サービス,https://www.gomisaku.jp/0258/,庄原市,現行,,2026-08-17,品目検索導線,4,現行,自治体公式ページから案内される外部サービス,TRUE,MUNICIPAL_LINKED_SERVICE,https://www.city.shobara.hiroshima.jp/main/life/waste/post_502.html
M102,S-M102-05,ごみの分別（多言語化）,公式多言語版,https://www.city.shobara.hiroshima.jp/main/life/waste/post_1331.html,庄原市,現行,,2026-08-17,対応言語,5,現行,韓国語・中国語・英語・ベトナム語・インドネシア語・タガログ語・スペイン語,TRUE,MUNICIPAL_DOMAIN,
M030,S-M030-01,家庭ごみの分別・出し方,自治体公式Webページ,https://www.city.yonago.lg.jp/1880.htm,米子市,令和8年度,2026-04-08,2026-08-18,全区分・前処理・袋条件・収集外・多言語,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M030,S-M030-02,家庭ごみの分別・出し方早見表,公式分別辞典,https://www.city.yonago.lg.jp/10367.htm,米子市,現行,,2026-08-17,品目別検索導線・さんあーる,3,現行,,TRUE,MUNICIPAL_DOMAIN,
M030,S-M030-03,市指定ごみ袋・収集シール,自治体公式Webページ,https://www.city.yonago.lg.jp/6357.htm,米子市,現行,2026-02,2026-08-17,可燃・不燃指定袋と粗大ごみ収集シール,2,現行,,TRUE,MUNICIPAL_DOMAIN,
M030,S-M030-04,ごみ・資源物分別アプリ「さんあーる」,公式ごみ検索サービス,https://www.city.yonago.lg.jp/23285.htm,米子市,現行,,2026-08-17,検索機能・対応言語,4,現行,,TRUE,MUNICIPAL_DOMAIN,
M001,S-M001-01,令和8年度ごみ収集日程表及び家庭ごみの分別方法,自治体公式Webページ,https://www.town.yamada.iwate.jp/docs/8354.html,山田町,令和8年度,2026-04-01,2026-08-17,現行資料への公式導線・処理主体,1,現行,,TRUE,MUNICIPAL_DOMAIN,
M001,S-M001-02,家庭ごみの正しい分け方・出し方,自治体公式PDF,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/3/_/gominodashikataposter6_3.pdf,山田町,令和6年3月,2024-03,2026-08-18,全区分・粗大ごみ・有害ごみ・収集外,2,現行案内中,令和8年度ページから現行資料として案内,TRUE,MUNICIPAL_DOMAIN,
M001,S-M001-03,資源ごみの分別収集について,自治体公式PDF,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/2/_/bunbetu.pdf,山田町,令和6年度,2024,2026-08-17,資源品目・条件分岐・前処理,2,現行案内中,,TRUE,MUNICIPAL_DOMAIN,
M001,S-M001-04,指定のごみ袋について,自治体公式PDF,https://www.town.yamada.iwate.jp/fs/1/2/9/3/6/6/_/shiteigomibukuroR6_4.pdf,山田町,令和6年度,2024,2026-08-17,指定袋3種・透明袋対象,2,現行案内中,,TRUE,MUNICIPAL_DOMAIN,
