style_id,rank,stage,municipality_id,district_scope,category_id,自治体正式名称,evidence_role,official_color_label,display_color,color_status,color_basis,semantic_fit,ui_selection,source_id,source_url,source_locator,checked_date,reviewer,note
STY-M094-001,1,A,M094,MUNICIPALITY_WIDE,C-M094-01,可燃ごみ,OFFICIAL_POSTER_GUIDE,橙色系,#F5A900,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M094-01,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面 可燃ごみ見出し帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M094-002,1,A,M094,MUNICIPALITY_WIDE,C-M094-02,ペットボトル,OFFICIAL_POSTER_GUIDE,青色系,#1565B3,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M094-01,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面 ペットボトル見出し帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M094-003,1,A,M094,MUNICIPALITY_WIDE,C-M094-03,リサイクルプラ,OFFICIAL_POSTER_GUIDE,赤色系,#E43136,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M094-01,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面 リサイクルプラ見出し帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M094-004,1,A,M094,MUNICIPALITY_WIDE,C-M094-04,その他プラ,OFFICIAL_POSTER_GUIDE,水色系,#0EA5D8,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M094-01,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面 その他プラ見出し帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M094-005,1,A,M094,MUNICIPALITY_WIDE,C-M094-05,不燃ごみ,OFFICIAL_POSTER_GUIDE,朱色系,#F26A21,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M094-01,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面 不燃ごみ見出し帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M094-006,1,A,M094,MUNICIPALITY_WIDE,C-M094-06,資源ごみ,OFFICIAL_POSTER_GUIDE,緑色系,#2BB24C,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M094-01,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面 資源ごみ見出し帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M094-007,1,A,M094,MUNICIPALITY_WIDE,C-M094-07,有害ごみ,OFFICIAL_POSTER_GUIDE,紫色系,#7443A0,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M094-01,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面 有害ごみ見出し帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M104-001,3,A,M104,MUNICIPALITY_WIDE,C-M104-01,燃やせるごみ,OFFICIAL_POSTER_GUIDE,黄色系,#F4D548,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,5頁 燃やせるごみ区分枠,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。オレンジ指定袋は別の共有観測として保持。
STY-M104-010,3,A,M104,MUNICIPALITY_WIDE,C-M104-01,燃やせるごみ,DESIGNATED_BAG,オレンジ色,,OFFICIAL_CONFIRMED,公式資料に記載された色名,SHARED_COLLECTION_GROUP,SUPPORTING,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,7頁 燃やせるごみ指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,燃やせるごみ・危険ごみ・有害ごみで共通。
STY-M104-002,3,A,M104,MUNICIPALITY_WIDE,C-M104-02,危険ごみ,OFFICIAL_POSTER_GUIDE,灰色系,#9A9A9A,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,5頁 危険ごみ区分枠,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。オレンジ指定袋は別の共有観測として保持。
STY-M104-011,3,A,M104,MUNICIPALITY_WIDE,C-M104-02,危険ごみ,DESIGNATED_BAG,オレンジ色,,OFFICIAL_CONFIRMED,公式資料に記載された色名,SHARED_COLLECTION_GROUP,SUPPORTING,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,9頁 危険ごみ指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,燃やせるごみ・危険ごみ・有害ごみで共通。
STY-M104-003,3,A,M104,MUNICIPALITY_WIDE,C-M104-03,その他プラ,OFFICIAL_POSTER_GUIDE,藤色系,#B56EA7,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,5頁 その他プラ区分枠,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。紫指定袋は別の共有観測として保持。
STY-M104-013,3,A,M104,MUNICIPALITY_WIDE,C-M104-03,その他プラ,DESIGNATED_BAG,紫色,,OFFICIAL_CONFIRMED,公式資料に記載された色名,SHARED_COLLECTION_GROUP,SUPPORTING,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,13頁 その他プラ指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,その他プラ・ビン缶・PET・リサイクルプラで共通。
STY-M104-004,3,A,M104,MUNICIPALITY_WIDE,C-M104-05,新聞,OFFICIAL_POSTER_GUIDE,茶色系,#B76A3E,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,6頁 新聞区分枠,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。
STY-M104-005,3,A,M104,MUNICIPALITY_WIDE,C-M104-06,雑誌・雑がみ・ダンボール,OFFICIAL_POSTER_GUIDE,深緑色系,#3E8B55,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,6頁 雑誌・雑がみ・ダンボール区分枠,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。
STY-M104-006,3,A,M104,MUNICIPALITY_WIDE,C-M104-07,ビン・缶,OFFICIAL_POSTER_GUIDE,桃色系,#E63E96,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,5頁 ビン・缶区分枠,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。紫指定袋は別の共有観測として保持。
STY-M104-014,3,A,M104,MUNICIPALITY_WIDE,C-M104-07,ビン・缶,DESIGNATED_BAG,紫色,,OFFICIAL_CONFIRMED,公式資料に記載された色名,SHARED_COLLECTION_GROUP,SUPPORTING,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,15頁 ビン・缶指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,その他プラ・ビン缶・PET・リサイクルプラで共通。
STY-M104-007,3,A,M104,MUNICIPALITY_WIDE,C-M104-08,ペットボトル,OFFICIAL_POSTER_GUIDE,緑色系,#30A459,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,5頁 ペットボトル区分枠,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。紫指定袋は別の共有観測として保持。
STY-M104-015,3,A,M104,MUNICIPALITY_WIDE,C-M104-08,ペットボトル,DESIGNATED_BAG,紫色,,OFFICIAL_CONFIRMED,公式資料に記載された色名,SHARED_COLLECTION_GROUP,SUPPORTING,SS-M104-01,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,16頁 ペットボトル指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,その他プラ・ビン缶・PET・リサイクルプラで共通。
