style_id,rank,stage,municipality_id,district_scope,category_id,自治体正式名称,evidence_role,official_color_label,display_color,color_status,color_basis,semantic_fit,ui_selection,source_id,source_url,source_locator,checked_date,reviewer,note
STY-M097-001,6,B,M097,MUNICIPALITY_WIDE,C-M097-01,もやすごみ,STATION_SIGN,桃色系,#E8B8DE,OFFICIAL_DERIVED,公式ステーション看板の背景帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 もやすごみ背景帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-002,6,B,M097,MUNICIPALITY_WIDE,C-M097-02,不燃物,STATION_SIGN,淡黄色系,#EDF1AE,OFFICIAL_DERIVED,公式ステーション看板の背景帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 不燃物背景帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-003,6,B,M097,MUNICIPALITY_WIDE,C-M097-03,びん・飲料缶,STATION_SIGN,淡緑色系,#B6DEB0,OFFICIAL_DERIVED,公式ステーション看板の背景帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 びん・飲料缶背景帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-004,6,B,M097,MUNICIPALITY_WIDE,C-M097-04,ペットボトル,STATION_SIGN,淡水色系,#A8E1EF,OFFICIAL_DERIVED,公式ステーション看板の背景帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 ペットボトル背景帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-005,6,B,M097,MUNICIPALITY_WIDE,C-M097-05,容器包装プラスチック,STATION_SIGN,黄緑色系,#DDEEC6,OFFICIAL_DERIVED,公式ステーション看板の背景帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 容器包装プラスチック背景帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-006,6,B,M097,MUNICIPALITY_WIDE,C-M097-06,発火性危険ごみ,STATION_SIGN,黄緑色系,#91CE52,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 発火性危険ごみ小区分,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-007,6,B,M097,MUNICIPALITY_WIDE,C-M097-07,電池,STATION_SIGN,青色系,#60A5C3,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 電池小区分,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-008,6,B,M097,MUNICIPALITY_WIDE,C-M097-08,電池の外せない小型家電・充電式小型家電,STATION_SIGN,灰色系,#A19F9F,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 電池の外せない小型家電小区分,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M097-009,6,B,M097,MUNICIPALITY_WIDE,C-M097-09,蛍光灯（有害ごみ）,STATION_SIGN,黄色系,#F0DF36,OFFICIAL_DERIVED,公式ステーション看板の小区分帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M097-01,https://www.city.mihara.hiroshima.jp/uploaded/life/115378_353536_misc.pdf,看板 蛍光灯小区分,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STY-M105-001,7,B,M105,MUNICIPALITY_WIDE,C-M105-01,燃やせるごみ,DESIGNATED_BAG,黄色,#DFCDA2,OFFICIAL_DERIVED,公式色名と指定袋画像,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M105-01,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/81152.pdf,ポスター 燃やせるごみ・黄色の指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,黄色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STY-M105-002,7,B,M105,MUNICIPALITY_WIDE,C-M105-02,資源ごみ,OFFICIAL_POSTER_GUIDE,,,NOT_CONFIRMED,資源ごみ親は白色袋・ひも束・複数排出方法,MULTI_METHOD_CATEGORY,NOT_APPLICABLE,SS-M105-01,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/81152.pdf,ポスター 資源ごみ(1)から(5),2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,単一の親色を確認できない。空欄を維持し推測しない。
STY-M105-003,7,B,M105,MUNICIPALITY_WIDE,C-M105-08,埋立ごみ,DESIGNATED_BAG,白色,#FFFFFF,OFFICIAL_DERIVED,公式色名と指定袋画像,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M105-01,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/81152.pdf,ポスター 埋立ごみ・白色の指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,白色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STY-M105-004,7,B,M105,MUNICIPALITY_WIDE,C-M105-10,小型および複雑ごみ,DESIGNATED_BAG,緑色,#B6DEB0,OFFICIAL_DERIVED,公式色名と指定袋画像,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M105-01,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/81152.pdf,ポスター 小型および複雑ごみ・緑色の指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,緑色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STY-M105-005,7,B,M105,MUNICIPALITY_WIDE,C-M105-11,有害ごみ,DESIGNATED_BAG,白色,#FFFFFF,OFFICIAL_DERIVED,公式色名と指定袋画像,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M105-01,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/81152.pdf,ポスター 有害ごみ・白色の指定袋,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,白色という公式記載を確認し、表示値はPDF画像からの近似値。自治体公式HEXではない。
STY-M106-001,8,B,M106,MUNICIPALITY_WIDE,C-M106-01,燃えるごみ,OFFICIAL_POSTER_GUIDE,,,NOT_CONFIRMED,公式ポスターは白地で専用色を識別できない,NO_SEMANTIC_COLOR,NOT_APPLICABLE,SS-M106-01,https://www.akitakata.jp/akitakata-media/filer_public/71/1c/711ce7e9-446c-47c7-bc0c-f55db381fc25/gomino-wake-hou-dashikata-20214.pdf,ポスター 燃えるごみ行,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,単なる紙面地色を公式分別色にしない。
STY-M106-002,8,B,M106,MUNICIPALITY_WIDE,C-M106-02,古紙類,OFFICIAL_POSTER_GUIDE,淡黄色系,#F3E8B8,OFFICIAL_DERIVED,公式ポスターの区分背景帯,CATEGORY_DISCRIMINATOR,PRIMARY,SS-M106-01,https://www.akitakata.jp/akitakata-media/filer_public/71/1c/711ce7e9-446c-47c7-bc0c-f55db381fc25/gomino-wake-hou-dashikata-20214.pdf,ポスター 古紙類背景帯,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
