projection_id,rank,municipality_id,district_scope,category_id,自治体正式名称,display_color,border_color,text_color,color_status,color_basis,selected_style_id,accessibility_label_required,icon_status,checked_date,reviewer,note
STP-M094-01,1,M094,MUNICIPALITY_WIDE,C-M094-01,可燃ごみ,#F5A900,#875D00,#000000,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,STY-M094-001,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M094-02,1,M094,MUNICIPALITY_WIDE,C-M094-02,ペットボトル,#1565B3,#0C3862,#FFFFFF,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,STY-M094-002,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M094-03,1,M094,MUNICIPALITY_WIDE,C-M094-03,リサイクルプラ,#E43136,#7D1B1E,#000000,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,STY-M094-003,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M094-04,1,M094,MUNICIPALITY_WIDE,C-M094-04,その他プラ,#0EA5D8,#085B77,#000000,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,STY-M094-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M094-05,1,M094,MUNICIPALITY_WIDE,C-M094-05,不燃ごみ,#F26A21,#853A12,#000000,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,STY-M094-005,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M094-06,1,M094,MUNICIPALITY_WIDE,C-M094-06,資源ごみ,#2BB24C,#18622A,#000000,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,STY-M094-006,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M094-07,1,M094,MUNICIPALITY_WIDE,C-M094-07,有害ごみ,#7443A0,#402558,#FFFFFF,OFFICIAL_DERIVED,公式PDF区分帯の視覚表現,STY-M094-007,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。自治体公式HEXではない。
STP-M104-01,3,M104,MUNICIPALITY_WIDE,C-M104-01,燃やせるごみ,#F4D548,#867528,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-001,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。オレンジ指定袋は別の共有観測として保持。
STP-M104-02,3,M104,MUNICIPALITY_WIDE,C-M104-02,危険ごみ,#9A9A9A,#555555,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-002,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。オレンジ指定袋は別の共有観測として保持。
STP-M104-03,3,M104,MUNICIPALITY_WIDE,C-M104-03,その他プラ,#B56EA7,#643D5C,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-003,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。紫指定袋は別の共有観測として保持。
STP-M104-05,3,M104,MUNICIPALITY_WIDE,C-M104-05,新聞,#B76A3E,#653A22,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-004,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。
STP-M104-06,3,M104,MUNICIPALITY_WIDE,C-M104-06,雑誌・雑がみ・ダンボール,#3E8B55,#224C2F,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-005,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。
STP-M104-07,3,M104,MUNICIPALITY_WIDE,C-M104-07,ビン・缶,#E63E96,#7F2252,#000000,OFFICIAL_DERIVED,公式ごみブック区分枠の視覚表現,STY-M104-006,TRUE,NOT_RESEARCHED_AS_OFFICIAL,2026-08-20,OPENAI_CODEX_STYLE_RESEARCH_PILOT,PDF画像からの近似値。紫指定袋は別の共有観測として保持。
