source_id,municipality_id,district_scope,source_title,source_type,source_url,source_locator,evidence_roles,priority,currentness,official_verified,official_basis,checked_date,note
SS-M094-01,M094,MUNICIPALITY_WIDE,令和8年度版 家庭ごみの正しい出し方,自治体公式PDF,https://www.city.hiroshima.lg.jp/_res/projects/default_project/_page_/001/003/182/2026.pdf,表面・左端の可燃ごみから有害ごみまでの区分見出し帯,OFFICIAL_POSTER_GUIDE,2,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,PDFの区分帯色を視覚近似。
SS-M094-02,M094,MUNICIPALITY_WIDE,家庭ごみの正しい出し方,自治体公式Webページ,https://www.city.hiroshima.lg.jp/living/gomi-kankyo/1021277/1003072/1026095/1026096/1003182.html,令和8年度版PDFへの公式導線と9見出し,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,PDFの現行性確認。
SS-M099-01,M099,CITY_GENERAL,家庭ごみの分け方出し方B3ポスター 市内版,自治体公式PDF,https://www.city.fukuyama.hiroshima.jp/uploaded/attachment/274722.pdf,市内版・左端の分別区分帯,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,地域variant調査用。category未確定のためstyle参照には未使用。
SS-M099-02,M099,UCHIUMI,家庭ごみの分け方出し方B3ポスター 内海町版,自治体公式PDF,https://www.city.fukuyama.hiroshima.jp/uploaded/attachment/274723.pdf,内海町版・左端の分別区分帯,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,市内版と紙類の扱いが異なる地域variant。
SS-M099-03,M099,MUNICIPALITY_MULTISCOPE,ごみの分け方・出し方,自治体公式Webページ,https://www.city.fukuyama.hiroshima.jp/site/kankyo/328268.html,市内版と内海町版の2公式PDFへの導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,2地域版の併存を確認。
SS-M099-04,M099,NUMAKUMA,沼隈町の紙類,自治体公式Webページ,https://www.city.fukuyama.hiroshima.jp/site/kankyo/314393.html,沼隈町で回収する紙類4区分,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,沼隈町固有の紙類区分を確認。
SS-M104-01,M104,MUNICIPALITY_WIDE,家庭ごみの分別と出し方 ごみブック,自治体公式PDF,https://www.city.higashihiroshima.lg.jp/material/files/group/18/gomibook_all.pdf,5-6頁の分別一覧区分枠・7頁以降の指定袋説明,OFFICIAL_POSTER_GUIDE;DESIGNATED_BAG,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,見出し色と指定袋色を用途別に保持。
SS-M104-02,M104,MUNICIPALITY_WIDE,家庭から出るごみの分別・出し方について,自治体公式Webページ,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/4/1/index.html,現行ごみブックへの公式導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,PDFの現行性確認。
SS-M098-01,M098,MUNICIPALITY_MULTISCOPE,ごみ分別ガイドブック 尾道市全域,自治体公式Webページ,https://www.city.onomichi.hiroshima.jp/soshiki/16/44213.html,尾道・向島・御調・因島・瀬戸田の5地域版への導線,OFFICIAL_WEB_INDEX,4,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,5地域variantの併存を確認。
SS-M098-02,M098,ONOMICHI,ごみ分別ガイドブック 尾道地域,自治体公式PDF,https://www.city.onomichi.hiroshima.jp/uploaded/attachment/57662.pdf,表紙・分別区分ページ,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,地域variant調査用。
SS-M098-03,M098,MUKAISHIMA,ごみ分別ガイドブック 向島地域,自治体公式PDF,https://www.city.onomichi.hiroshima.jp/uploaded/attachment/57663.pdf,表紙・分別区分ページ,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,地域variant調査用。
SS-M098-04,M098,MITSUGI,ごみ分別ガイドブック 御調地域,自治体公式PDF,https://www.city.onomichi.hiroshima.jp/uploaded/attachment/57665.pdf,表紙・分別区分ページ,OFFICIAL_POSTER_GUIDE,3,CURRENT,TRUE,MUNICIPAL_DOMAIN,2026-08-20,地域variant調査用。
